Regulator	Target
ENSG00000143437	ENSG00000118777
ENSG00000116016	ENSG00000118777
ENSG00000131269	ENSG00000118777
ENSG00000211679	ENSG00000136754
ENSG00000178562	ENSG00000136754
ENSG00000213281	ENSG00000136754
ENSG00000213066	ENSG00000136754
ENSG00000211677	ENSG00000136754
ENSG00000128052	ENSG00000136754
ENSG00000091831	ENSG00000136754
ENSG00000162188	ENSG00000136754
ENSG00000117461	ENSG00000136754
ENSG00000186716	ENSG00000136754
ENSG00000113721	ENSG00000136754
ENSG00000168918	ENSG00000136754
ENSG00000127928	ENSG00000136754
ENSG00000097007	ENSG00000136754
ENSG00000211675	ENSG00000136754
ENSG00000147168	ENSG00000136754
ENSG00000133116	ENSG00000136754
ENSG00000138685	ENSG00000136754
ENSG00000160654	ENSG00000136754
ENSG00000211893	ENSG00000136754
ENSG00000211592	ENSG00000136754
ENSG00000150867	ENSG00000136754
ENSG00000141506	ENSG00000136754
ENSG00000177455	ENSG00000136754
ENSG00000143226	ENSG00000136754
ENSG00000124882	ENSG00000136754
ENSG00000196468	ENSG00000136754
ENSG00000175866	ENSG00000136754
ENSG00000222037	ENSG00000136754
ENSG00000167601	ENSG00000136754
ENSG00000121594	ENSG00000136754
ENSG00000143398	ENSG00000136754
ENSG00000109458	ENSG00000136754
ENSG00000213809	ENSG00000136754
ENSG00000068383	ENSG00000136754
ENSG00000171862	ENSG00000136754
ENSG00000124831	ENSG00000136754
ENSG00000066468	ENSG00000136754
ENSG00000155629	ENSG00000136754
ENSG00000049130	ENSG00000136754
ENSG00000027869	ENSG00000136754
ENSG00000114013	ENSG00000136754
ENSG00000115904	ENSG00000136754
ENSG00000134460	ENSG00000136754
ENSG00000100030	ENSG00000136754
ENSG00000168243	ENSG00000136754
ENSG00000156427	ENSG00000136754
ENSG00000205809	ENSG00000136754
ENSG00000185133	ENSG00000136754
ENSG00000111790	ENSG00000136754
ENSG00000138798	ENSG00000136754
ENSG00000100351	ENSG00000136754
ENSG00000033327	ENSG00000136754
ENSG00000121879	ENSG00000136754
