TCGA.EB.A6QZ	TCGA.EB.A5KH	TCGA.EB.A6QY	TCGA.EB.A553	TCGA.EB.A57M	TCGA.EB.A85J	TCGA.D3.A51H	TCGA.EB.A3Y6	TCGA.EB.A5SH	TCGA.EB.A5UL	TCGA.W3.A825	TCGA.EB.A3XC
ENSG00000005075	2886	1749	3090	6051	2084	2235	1272	2558	1984	2141	1772	2979
ENSG00000005100	4186	1810	4786	2589	1318	3508	1094	6307	2370	3834	2907	1756
ENSG00000005102	103	65	84	82	1067	195	242	37	197	65	535	201
ENSG00000005108	39	21	58	40	102	25	81	69	95	67	1070	51
ENSG00000005156	2154	3268	3515	571	3145	1420	857	2794	2445	3187	2023	1844
ENSG00000005175	801	376	2123	290	304	992	1201	1344	179	4149	2314	1965
ENSG00000005187	23	2	293	12	15	61	161	34	7	53	126	192
ENSG00000005189	458	69	674	132	77	464	184	204	123	394	182	645
ENSG00000005194	5127	2326	4394	712	3716	2326	1714	2612	3118	4170	3461	4340
ENSG00000005206	3430	3150	1698	3791	3239	2262	5252	5145	3760	3971	4721	980
ENSG00000005238	1107	1115	2281	4738	1439	1714	951	4006	2257	3047	1272	2619
ENSG00000005243	2043	850	2836	742	1452	907	363	3950	531	3067	997	1001
ENSG00000005249	505	107	981	147	233	192	524	798	94	665	636	1002
ENSG00000005302	900	331	1196	424	600	1491	3056	1945	535	2267	2025	984
ENSG00000005339	6333	10105	4680	1090	7653	5427	4069	4176	7862	4305	7143	2834
ENSG00000005379	477	32	30	55	139	324	1292	427	41	304	1471	14
ENSG00000005381	9	3	2	6	9	40	15	2	3	9	58	6
ENSG00000005421	0	1	10	2	1	3	7	2	0	1	2	3
ENSG00000005436	771	293	1449	452	200	1120	888	1166	280	944	1087	1049
ENSG00000005448	953	483	1564	618	532	1343	499	373	794	684	2624	811
ENSG00000005469	425	249	2793	422	446	426	393	1350	188	761	440	1363
ENSG00000005471	60	22	4029	770	1148	157	863	1408	19	1008	506	1547
ENSG00000005483	5267	2771	4551	1344	3348	3230	3377	5454	2426	3448	4165	2612
ENSG00000005486	9124	4726	7111	5743	9401	7484	2010	9659	8765	5598	3549	9382
ENSG00000005513	1420	1255	12	44	1182	5465	597	102	2000	1128	617	834
ENSG00000005700	875	830	4209	549	437	1617	1929	1992	516	2275	2311	1691
ENSG00000005801	692	174	983	771	236	471	1106	893	100	833	2133	572
ENSG00000005810	3503	1445	4173	473	2498	2679	4199	3413	1183	3023	2816	1898
ENSG00000005812	1137	448	1311	224	610	1421	2130	1660	268	1389	1917	948
ENSG00000005844	93	499	258	382	705	2950	7932	489	1132	2540	1981	252
ENSG00000005882	857	1164	3172	341	1956	884	601	2017	3319	3391	1077	1395
ENSG00000005884	5824	873	18378	8200	12111	6834	7122	13802	1271	6863	14932	14639
ENSG00000005889	1002	374	1364	510	420	913	1028	2218	640	1861	2503	782
ENSG00000005893	12023	7727	36683	3395	11507	9831	5540	26460	9653	16964	8054	15078
ENSG00000005961	41	5	31	39	11	109	19	19	4	14	426	53
ENSG00000005981	8	1	65	1395	58	67	2	1261	3	53	8	339
ENSG00000006007	5182	1736	8273	818	2930	3036	1532	5531	3508	3183	2433	2558
ENSG00000006015	1451	1169	1098	1550	2113	2097	2709	1133	1342	2064	1168	704
ENSG00000006016	77	52	115	103	1437	110	114	59	86	115	535	46
ENSG00000006025	1190	628	1450	153	1041	818	1401	760	357	2377	858	151
ENSG00000006042	14926	5346	4664	947	3423	2471	673	10521	3933	7259	6044	4596
ENSG00000006047	65	40	4	211	23	321	8	109	53	53	133	7
ENSG00000006059	0	0	2	0	0	0	0	0	1	0	0	3
ENSG00000006062	1092	1128	902	387	1326	2130	2511	1738	1187	1243	1965	570
ENSG00000006071	1	0	0	0	1	0	3	2	0	2	45	0
ENSG00000006116	0	0	0	0	0	1	15	0	0	1	1	0
ENSG00000006118	1748	447	353	436	3651	1236	312	2519	764	1520	15464	630
ENSG00000006125	17699	9600	12983	2909	9934	17193	5797	19443	16636	13749	16838	6314
