TCGA.3B.A9HP	TCGA.X9.A971	TCGA.3B.A9I0	TCGA.K1.A3PN	TCGA.IE.A3OV	TCGA.3B.A9HR	TCGA.DX.A8BV	TCGA.3B.A9HL	TCGA.X6.A8C4	TCGA.DX.A6YX	TCGA.DX.A3LU	TCGA.3B.A9HV	TCGA.FX.A48G	TCGA.DX.A3UC	TCGA.DX.A8BU
ENSG00000004848	1	2	0	2	31	6	5	0	0	1	0	361	108	0	85
ENSG00000004864	698	2837	910	1015	1221	1201	1462	1523	1313	1630	566	726	499	474	844
ENSG00000004866	1466	1833	2173	1516	1984	1743	1190	1432	515	2516	1101	1479	680	1106	2043
ENSG00000004897	2686	5192	2956	3094	3967	5068	4256	5411	5191	8120	2205	3289	1447	1508	6775
ENSG00000004939	1	4	0	4	0	2	3	18	0	0	0	1	8	2	7
ENSG00000004948	7	1	6	1	7	5	9	13	3	4	23	0	2	0	72
ENSG00000004961	687	2033	902	1388	1412	1082	781	1037	832	1897	686	1078	632	362	1367
ENSG00000004975	1522	2285	2376	2139	1316	3136	2736	2057	5796	2880	1327	15309	3944	2688	3912
ENSG00000005001	13	1	0	0	3	0	6	5	2	0	1	1	0	0	2
ENSG00000005007	6039	7226	7164	7817	7308	12636	5981	5319	5226	10253	4635	9894	4838	3851	9381
ENSG00000005020	1026	1134	562	1042	1734	2815	2423	3027	2070	3040	1071	1238	69	509	3175
ENSG00000005022	4959	18227	10809	18880	9006	17328	7846	7715	7460	26088	5718	44714	13717	4597	10235
ENSG00000005059	997	2898	1443	1012	1235	660	1463	761	1343	1095	2168	2257	416	652	1997
ENSG00000005073	867	77	3	502	32	17	187	893	935	1219	250	2021	9156	0	838
ENSG00000005075	1628	1459	2138	2707	1356	1665	1428	1500	1504	2048	3390	2516	7575	1181	2457
ENSG00000005100	724	632	687	535	1187	1311	1515	1456	2738	2358	612	1737	1065	660	1546
ENSG00000005102	194	458	321	1180	427	59	440	40	13	4	22	90	110	114	16
ENSG00000005108	587	118	147	139	329	333	879	419	532	33	9	89	90	89	606
ENSG00000005156	1169	1797	1744	4926	2077	3040	1089	742	1404	2113	746	2945	928	965	889
ENSG00000005175	1020	1516	1062	1236	1510	2297	1677	1243	2321	1679	762	1984	1064	537	1527
ENSG00000005187	145	464	362	124	316	110	127	81	50	119	110	496	208	71	76
ENSG00000005189	148	1517	1787	1371	1154	747	277	429	480	429	377	1149	366	466	838
ENSG00000005194	1756	1616	1740	1249	1869	1072	1839	1893	1989	1531	1501	1641	1455	323	1765
ENSG00000005206	4263	5915	5806	1803	3289	4515	1736	2098	1367	2861	2367	4166	3462	1475	2973
ENSG00000005238	1371	859	1299	2472	1645	1723	1287	802	1357	1073	1337	1958	2455	1565	2702
ENSG00000005243	1905	4495	2713	3101	477	2964	2361	2167	1544	902	5645	1249	3487	2545	1271
ENSG00000005249	440	248	125	505	1730	872	433	290	43	950	460	5303	710	218	146
ENSG00000005302	1329	2741	1111	826	1313	971	1772	1415	1464	2058	1589	1321	889	671	1982
ENSG00000005339	4986	10003	6285	5651	13819	9305	5424	7951	3693	8538	2608	6532	2854	3108	6290
ENSG00000005379	3596	11866	5752	850	4133	10274	555	731	45	11	151	17064	776	3002	1677
ENSG00000005381	15	2	35	10	11	4	6	75	0	2	5	7	1	45	72
ENSG00000005421	2	1	0	22	6	0	28	9	0	3	5	2	2	2	257
ENSG00000005436	1014	1291	1094	894	942	774	805	1149	1123	1010	501	1223	492	331	738
ENSG00000005448	1123	828	1552	1900	674	452	515	658	2586	1399	984	1370	1882	101	746
ENSG00000005469	896	900	761	349	605	1191	640	385	507	1602	332	662	329	222	894
ENSG00000005471	158	32	46	254	93	27	75	257	22	122	49	13	857	241	187
ENSG00000005483	3145	4871	2760	2303	6392	6099	4121	3779	3177	4820	1018	3872	372	2449	4187
ENSG00000005486	1855	1519	2037	2021	3424	1187	2191	2781	4297	6500	4455	2000	5898	864	3581
ENSG00000005513	13	27	13	6	5	8	39	184	4	1	11	2	18	4	2568
ENSG00000005700	1747	3029	1444	759	2244	1962	2478	1743	3635	4184	1418	3601	1278	647	3786
ENSG00000005801	842	561	257	263	403	730	614	590	730	1068	386	471	667	206	275
ENSG00000005810	1912	3636	1876	942	4855	3065	2772	2718	2193	4623	1221	894	405	582	4641
ENSG00000005812	2588	4587	1659	1276	11236	4065	2776	2315	1777	1871	1263	872	409	755	3442
ENSG00000005844	886	187	1626	236	2191	74	430	404	357	504	3245	80	468	432	366
ENSG00000005882	1655	1642	2549	1413	1079	3533	1113	903	275	1585	479	1391	478	1053	921
ENSG00000005884	3548	7719	8976	6340	5527	3575	1511	532	23929	9687	154	5331	2193	3935	240
ENSG00000005889	2253	6068	1428	2029	3895	4497	1990	1108	1548	2855	524	2700	287	1749	1669
ENSG00000005893	7636	9618	5332	3712	5563	8220	6785	7370	5864	25816	8326	14186	2489	2893	15639
ENSG00000005961	59	82	85	77	12	36	27	46	21	44	29	58	58	18	17
ENSG00000005981	3	1	0	53	2	70	12	4	0	3	0	0	1	1	76
ENSG00000006007	2679	5382	4085	2018	6654	3896	2126	2856	2940	4589	2848	4253	3535	2191	2801
ENSG00000006015	2142	792	1444	1124	706	1355	1475	1309	907	1647	3109	1012	9875	901	1325
ENSG00000006016	54	396	41	1560	342	63	240	288	24	45	8	22	22	8	45
ENSG00000006025	1068	751	1089	446	426	992	813	482	392	723	813	1258	1082	463	1208
ENSG00000006042	2844	1942	1750	2552	1011	3075	964	1202	18	3840	2306	4832	4850	2144	220
ENSG00000006047	247	2	66	11	107	9	22	15	2	2	8	548	70	6	3
ENSG00000006059	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	1675	2230	2401	1490	2261	2338	2113	1001	1764	1631	738	2166	681	1637	2971
ENSG00000006071	325	20	19	0	776	28	66	1734	0	0	486	1	0	23	47
ENSG00000006116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000006118	1335	682	229	434	697	780	2492	2499	3250	5667	1855	6381	6915	251	1806
ENSG00000006125	8609	10275	6628	6011	6846	12306	12274	7079	16388	25302	8887	12947	10629	3339	6284
ENSG00000006128	0	0	1	0	0	2	0	0	0	0	0	0	219	0	3
ENSG00000006194	2177	3234	2054	2157	2220	2092	1613	2279	986	1918	1197	1935	2213	1073	2078
ENSG00000006210	10328	2448	16463	13432	10447	3885	2713	2513	49	236	1503	7121	659	6467	949
ENSG00000006282	3914	4082	1673	8886	1957	5389	1115	2247	1793	7777	2313	2297	5758	2378	2473
ENSG00000006283	29	1113	12	127	23	812	17	416	110	12	7	7	198	9	133
ENSG00000006327	2336	4042	808	1545	922	814	472	1362	13631	10503	688	263	926	449	1709
ENSG00000006377	118	486	480	671	1213	901	7	278	0	1	16	0	32	88	5
ENSG00000006432	54	1897	258	331	294	743	81	13	6	18	16	633	14	153	388
ENSG00000006451	2610	2155	1826	2479	1618	2437	4341	5776	13015	8383	4565	2596	3423	979	4234
ENSG00000006453	281	595	51	340	57	635	27	197	772	173	50	87	1287	716	2557
ENSG00000006459	1036	653	611	311	1121	690	740	953	988	1112	396	1719	218	219	2090
ENSG00000006468	513	110	635	889	1564	473	707	717	4208	13886	723	303	730	130	3803
ENSG00000006530	1323	1462	1250	1345	1765	2558	846	1368	1327	2586	492	2855	380	967	993
ENSG00000006534	1080	1001	2413	4674	2014	290	544	949	4311	1083	2904	204	542	1100	371
ENSG00000006555	19	2	17	4	24	2	3	3	1	1	35	1	8	6	3
ENSG00000006576	1244	5218	1870	3011	1841	2719	2252	1783	1960	2998	846	1650	1482	1800	3525
ENSG00000006606	11	71	13	3	56	15	86	16	53	381	58	2	18	1	11
ENSG00000006607	796	2197	872	928	1190	983	1225	1089	2110	1823	389	552	380	927	959
ENSG00000006611	0	1	0	0	2	7	0	13	0	0	4	2	26	0	48
ENSG00000006625	839	881	946	1114	627	662	1056	1388	2448	1178	1072	2851	1736	951	1150
ENSG00000006634	408	2220	476	963	464	851	577	405	1043	1673	356	1007	204	577	960
ENSG00000006638	592	3775	1785	706	2825	692	663	414	384	628	273	513	878	654	195
ENSG00000006652	2662	3336	2568	2945	7063	5551	1629	1866	1319	2455	761	1988	1517	1360	2328
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0
ENSG00000006695	433	622	627	8726	1351	7131	592	570	1054	456	327	815	803	891	532
ENSG00000006704	1223	1375	690	1096	1236	2202	1052	1381	2582	1838	477	4748	1121	687	2361
ENSG00000006712	4597	4482	3906	3917	3387	5940	5393	6215	2129	4969	7211	6613	4536	3148	8202
ENSG00000006715	2346	1644	2049	1772	2399	4113	2632	2652	2742	3862	1507	3867	3140	1095	3475
ENSG00000006740	376	1011	392	1618	953	3361	1028	710	296	58	136	917	339	761	71
ENSG00000006744	2721	3542	3888	30023	6842	21002	3646	4365	4099	4361	3141	5766	6748	5762	3888
ENSG00000006747	167	34	54	71	286	253	1292	150	132	294	160	25	708	3	75
ENSG00000006756	1656	1657	2414	2955	2176	1170	839	759	105	3848	1324	2783	1999	1232	1941
ENSG00000006757	1177	2080	596	761	1664	1532	499	642	442	1116	499	2336	829	717	586
ENSG00000006788	9	92	1	2	31	0	4	30	9	0	0	1	165	0	404
ENSG00000006831	3011	4816	3154	2605	2692	5001	3028	3758	6206	9936	2512	5955	2340	1643	2173
ENSG00000006837	62	71	92	51	127	64	50	42	87	63	79	89	96	60	73
ENSG00000007001	2	3	2	1	1	12	2	4	0	3	2	4	0	3	48
ENSG00000007038	6	1	13	2	3	0	3	3	7	0	2	5	1	345	0
ENSG00000007047	2030	2333	1233	1014	937	3213	1847	3643	2406	3782	1773	3933	1778	2228	5997
ENSG00000007062	151	679	0	390	121	366	0	9	201	3	0	5715	30	571	1450
ENSG00000007080	3718	3726	5366	6731	5241	7601	3045	3036	3992	4777	5366	4795	12576	2141	4333
ENSG00000007129	118	21	120	8	147	8	121	163	23	48	440	10	146	21	5
ENSG00000007168	3940	11098	3939	5276	7863	8870	7930	8254	11613	5987	4398	8468	5195	3404	10848
ENSG00000007171	418	90	109	47	64	17	956	333	15	17	6	46	7	11	11
ENSG00000007174	0	3	2	19	209	11	79	33	1223	0	74	2	8	3	220
ENSG00000007202	6077	6886	4913	5250	8130	10959	7204	5616	6216	11966	2038	6176	5978	2962	6203
ENSG00000007216	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000007237	618	266	856	9478	1232	259	11854	23564	3878	954	13235	90	3133	325	624
ENSG00000007255	603	725	430	757	399	343	358	448	217	392	1321	360	1559	361	588
ENSG00000007264	218	121	268	170	135	58	54	143	369	51	994	64	292	102	43
ENSG00000007306	0	0	0	0	0	0	0	1	1	0	1	0	7	0	0
ENSG00000007312	309	54	288	120	201	90	671	434	19	26	910	104	619	19	77
ENSG00000007314	27	331	125	189	90	181	696	1439	1	0	131	4	6	15	573
ENSG00000007341	513	576	746	725	625	647	423	575	1140	492	317	640	240	232	684
ENSG00000007350	16	18	44	9	168	33	0	31	4	4	0	375	2	0	2
ENSG00000007372	404	3895	2025	1611	1129	3240	484	729	641	68	111	694	34	982	1468
