TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000176971	402	69	793	1698	120	269	1148	258	83	292	74
ENSG00000176973	2513	1325	2129	697	920	2057	2726	589	833	1167	1261
ENSG00000176974	2425	2471	921	282	1739	2307	1648	1860	1445	2202	4947
ENSG00000176978	15707	10441	4640	2684	6521	7129	17053	2315	2692	7551	3784
ENSG00000176979	0	0	0	11	0	2	2	6	0	0	0
ENSG00000176984	16	1	1	6	1	6	3	4	2	8	37
ENSG00000176986	11132	3889	2695	1352	8817	3798	5788	4517	6585	1122	7797
ENSG00000176988	0	0	0	1	0	0	0	0	1	1	0
ENSG00000176994	3227	4264	2776	1308	2247	2939	2974	3508	3928	1325	2523
ENSG00000176998	26	24	12	4	40	229	12	65	18	2	40
ENSG00000177000	3046	1530	3494	841	2365	650	3238	1573	3384	1351	1680
ENSG00000177023	0	0	0	0	0	0	0	0	0	0	5
ENSG00000177025	1	82	63	20	14	1	18	23	19	9	8
ENSG00000177030	2315	2435	2221	597	1673	1337	2599	1245	1917	1071	2414
ENSG00000177034	487	1760	1403	650	285	508	1184	1201	1163	475	907
ENSG00000177042	732	1718	1573	581	938	299	1927	1592	2583	1141	1134
ENSG00000177045	940	955	2083	444	524	374	1119	203	1132	554	805
ENSG00000177047	0	0	1	4	0	7	0	0	0	0	0
ENSG00000177051	2174	2374	1788	518	874	1468	3837	795	3164	1633	2742
ENSG00000177054	2004	4138	648	431	1608	941	3267	1618	4363	1548	3987
ENSG00000177058	890	958	407	299	513	409	1195	889	882	401	582
ENSG00000177076	320	755	306	92	1804	178	2183	658	1099	33	241
ENSG00000177082	470	486	566	174	258	264	593	638	510	366	279
ENSG00000177084	2398	5814	2259	1093	1870	3646	2917	5386	3461	2466	2308
ENSG00000177096	2394	1191	854	441	626	831	2208	644	1761	795	947
ENSG00000177098	182	72	1583	324	131	28	498	124	189	52	458
ENSG00000177103	348	11	141	78	35	14	22	30	4	6	19
ENSG00000177105	4668	6105	4461	2432	3928	6638	5621	4372	5601	5278	5341
ENSG00000177106	8548	5101	2236	1087	5317	6989	16882	4488	9844	6537	22358
ENSG00000177108	1	0	2	11	1	3	2	589	7	2	0
ENSG00000177112	28	4	50	19	2	10	15	15	10	4	13
ENSG00000177119	5459	6931	9331	5917	2709	3696	6168	5845	3765	1819	2765
ENSG00000177125	443	805	835	467	435	407	1241	991	1463	531	701
ENSG00000177133	375	283	171	30	287	78	1617	169	195	257	51
ENSG00000177138	0	0	4	8	0	4	8	18	1	3	0
ENSG00000177143	1	0	0	8	0	1	1	0	0	0	0
ENSG00000177144	2	2	5	1	0	1	1	1	2	1	1
ENSG00000177150	852	1284	462	297	624	1172	697	766	721	646	1115
ENSG00000177151	0	0	0	1	0	0	1	0	0	0	0
ENSG00000177156	7491	11320	6164	2694	16692	10547	24277	6591	26947	13661	12713
ENSG00000177169	5463	3220	6109	1881	2647	3308	5792	1890	4516	3283	3462
ENSG00000177173	9	14	27	11	27	19	26	32	39	14	18
ENSG00000177174	0	0	0	4	0	1	0	0	0	0	0
ENSG00000177181	149	158	579	335	786	100	527	210	295	134	131
ENSG00000177182	106	54	13	34	13	4	25	23	9	11	102
ENSG00000177186	0	0	0	2	0	1	0	7	1	0	0
ENSG00000177189	4025	5397	3722	3728	2867	2492	4584	5099	9015	2072	3859
ENSG00000177191	1814	272	351	420	405	258	1036	346	277	258	2985
ENSG00000177192	874	2928	825	299	1307	2425	2888	1028	1483	1841	950
ENSG00000177197	12	15	35	19	2	5	27	3	21	11	4
ENSG00000177200	2407	3698	5334	1708	1526	1069	3469	5093	7772	1979	4671
ENSG00000177201	0	0	0	2	0	0	0	0	0	0	0
ENSG00000177202	13	163	61	19	28	19	187	32	472	94	34
ENSG00000177212	0	0	0	0	0	4	0	0	0	0	0
ENSG00000177225	1164	4363	3625	1022	2191	2564	2989	1222	2586	3252	1769
ENSG00000177233	0	0	0	3	0	1	0	0	0	0	0
ENSG00000177234	1	0	5	8	1	13	14	0	0	6	0
ENSG00000177238	0	21	48	33	11	11	24	63	20	23	7
ENSG00000177239	5934	3626	1971	848	4514	3673	4244	2390	4777	1309	3358
ENSG00000177243	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177257	0	0	0	2	0	0	0	0	1	0	5
ENSG00000177261	0	0	2	0	0	1	0	0	4	0	1
ENSG00000177272	39	238	95	92	571	25	66	256	37	16	206
ENSG00000177275	0	0	0	5	0	0	0	0	0	1	0
ENSG00000177283	2965	1800	1174	864	493	402	4126	447	1324	1006	542
ENSG00000177291	0	6	2	5	0	4	22	8	4	15	2
ENSG00000177294	8	29	11	17	5	6	11	66	23	17	39
ENSG00000177300	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177301	12	9	268	38	50	2	11	39	4	1	12
ENSG00000177302	1253	2173	1430	576	900	1820	1785	1784	1524	911	1082
ENSG00000177303	9472	3114	4480	1276	3387	2548	4051	1421	5767	2449	3046
ENSG00000177306	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177311	5468	5784	8502	4621	3359	1604	6072	13252	13880	4733	4102
ENSG00000177324	0	0	2	14	0	10	1	21	1	10	0
ENSG00000177335	307	1863	128	32	520	238	469	126	934	27	115
ENSG00000177337	460	259	828	299	593	262	755	588	491	825	270
ENSG00000177338	0	2	0	4	0	2	0	0	0	0	0
ENSG00000177340	9	17	20	9	5	17	179	2	36	10	7
ENSG00000177350	12	37	103	49	7	20	70	25	33	31	26
ENSG00000177352	1159	926	1108	517	1469	1373	1781	535	745	334	936
ENSG00000177354	1	1	6	17	1	5	3	3	1	0	6
ENSG00000177359	17	25	99	45	37	47	355	542	29	7	9
ENSG00000177363	589	57	1020	207	90	45	183	122	125	247	168
ENSG00000177369	2	2	15	10	1	1	5	28	2	6	1
ENSG00000177370	1213	1743	934	355	1205	1654	1206	1197	694	1025	904
ENSG00000177374	3604	900	1818	920	968	1149	6177	437	332	515	1374
ENSG00000177380	3060	2481	301	203	1091	402	403	326	2392	724	1549
ENSG00000177383	2211	3675	2098	654	2079	1901	3695	1610	2884	5953	1947
ENSG00000177398	1	0	3	39	20	19	8	30	9	1	7
ENSG00000177400	1	0	1	0	0	3	0	0	0	0	0
ENSG00000177406	1446	1470	646	238	197	389	416	504	190	120	492
ENSG00000177409	1121	13481	2022	1374	956	1085	2820	7936	6007	4873	4152
ENSG00000177410	2144	12570	4228	1825	8539	12450	3604	3514	3559	11295	4291
ENSG00000177414	0	0	0	10	20	1	1	6	4	0	0
ENSG00000177418	3	0	10	2	2	3	17	5	22	2	4
ENSG00000177425	3785	8788	2967	1980	2437	4061	7419	3941	3256	4214	3055
ENSG00000177426	5156	5760	3276	1507	2903	3771	13761	6704	5041	4570	3396
ENSG00000177427	805	997	1027	280	519	937	1115	532	461	663	850
ENSG00000177432	246	205	1061	166	132	163	407	197	184	174	147
ENSG00000177447	1	3	2	1	0	0	8	4	5	1	1
ENSG00000177452	5	4	24	7	5	12	12	15	6	7	5
ENSG00000177453	26	22	38	20	70	26	185	29	42	30	28
ENSG00000177455	48	198	1272	354	660	33	96	141	53	96	408
ENSG00000177459	1651	96	61	18	743	76	485	74	1056	408	193
ENSG00000177462	0	0	0	4	0	3	0	1	0	0	1
ENSG00000177463	2155	3102	3817	1817	2098	1599	5116	3722	3842	1183	2232
ENSG00000177464	543	452	351	93	366	524	1343	663	417	443	409
ENSG00000177465	437	292	145	45	754	729	557	256	216	269	190
ENSG00000177468	1	0	0	2	0	1	1	1	0	0	3
ENSG00000177469	18486	4170	69440	18847	3265	12901	29264	4242	3114	4184	9921
ENSG00000177476	0	0	0	5	0	0	0	6	2	1	0
ENSG00000177479	2305	3001	3715	1958	2361	2395	3802	2314	3486	1282	2698
ENSG00000177483	5	32	54	53	10	8	146	27	49	54	25
ENSG00000177485	2052	3795	1224	1243	1270	1250	2891	2900	3427	1244	2563
ENSG00000177489	0	0	1	3	0	4	0	0	0	0	0
ENSG00000177494	27	103	73	25	20	195	74	97	8	17	414
ENSG00000177504	0	0	0	2	0	0	33	0	0	0	0
ENSG00000177508	21	531	112	22	397	35	33	247	197	131	1635
ENSG00000177511	33	1	1	32	14	8	9	1	29	5	1
ENSG00000177519	60	2	110	54	1	4	28	8	6	38	22
ENSG00000177535	0	0	0	5	0	2	1	2	1	0	0
ENSG00000177542	2108	3408	805	229	4662	3529	2158	1859	3141	2807	1431
ENSG00000177548	2900	1584	1515	488	1502	1834	2253	785	1814	1208	1331
ENSG00000177551	3	2	7	66	1	8	10	56	7	4	221
ENSG00000177553	0	0	3	5	0	0	0	6	0	0	0
ENSG00000177556	3170	2640	1460	1068	2198	3185	1828	1442	1668	3576	1391
ENSG00000177558	4	1	8	4	1	2	4	5	0	0	3
ENSG00000177565	5506	14784	5773	3466	5160	5747	8023	10473	15598	6491	6712
ENSG00000177570	2710	1484	653	655	2179	457	2585	1113	5309	1682	1198
ENSG00000177575	1445	1211	561	376	1037	1699	1019	5318	743	345	1495
ENSG00000177576	683	1205	828	500	541	329	1011	332	522	830	367
ENSG00000177586	0	0	0	0	0	0	0	0	1	0	0
ENSG00000177590	0	2	2	6	3	0	0	4	3	1	1
ENSG00000177595	474	1500	968	559	505	637	989	780	1522	512	625
ENSG00000177596	0	0	2	2	0	1	0	0	0	0	0
ENSG00000177599	18	27	181	66	25	13	94	36	21	18	46
ENSG00000177600	16873	73688	46169	19134	34221	49889	32969	24266	41503	52780	25391
ENSG00000177602	170	509	50	65	217	615	239	249	299	308	130
ENSG00000177606	12106	11341	16379	5859	7283	7143	34900	6148	7551	7647	31773
ENSG00000177613	1174	1713	2073	967	1367	1398	3667	1743	1649	715	1485
ENSG00000177614	139	423	70	79	169	79	76	193	24	148	414
ENSG00000177627	6	3	20	13	3	7	6	22	2	1	86
ENSG00000177628	11651	2705	2044	1013	5489	2586	10249	2706	8226	3306	3450
ENSG00000177640	1687	287	198	66	334	119	255	595	266	558	112
ENSG00000177646	2896	1890	2148	702	2336	2052	2457	2220	3074	2060	3205
ENSG00000177663	3466	3565	2109	853	1964	1987	3213	2181	2767	2513	2099
ENSG00000177666	9741	13355	11164	3230	13019	8107	24454	6345	33996	7334	5618
ENSG00000177669	4	30	36	13	21	4	54	22	46	47	9
ENSG00000177673	0	2	2	3	0	0	1	3	2	1	0
ENSG00000177674	7389	2136	1225	597	3797	4329	4729	1564	2868	5665	2225
ENSG00000177675	59	141	95	101	504	444	142	299	198	108	259
ENSG00000177679	764	673	80	130	147	129	336	235	106	1049	1292
ENSG00000177683	1468	3035	1422	565	590	1039	1052	1314	1670	698	699
ENSG00000177684	0	0	0	0	0	0	0	2	0	0	0
ENSG00000177685	1508	7486	780	182	2734	1114	3659	868	6109	657	286
ENSG00000177688	5	18	44	13	8	11	46	23	29	23	13
ENSG00000177689	0	1	0	1	15	0	1	0	0	0	0
ENSG00000177692	84	147	110	32	79	29	92	92	112	90	38
ENSG00000177693	0	0	0	0	0	0	1	0	0	0	0
ENSG00000177694	737	3403	776	466	335	270	375	1170	605	453	639
ENSG00000177697	33284	16722	27207	12385	18328	20327	45498	8507	31708	14284	6449
ENSG00000177699	13	5	30	13	7	8	11	32	3	24	7
ENSG00000177700	5056	5898	3269	1701	4097	5876	5229	3058	4108	5623	3367
ENSG00000177706	3623	3673	7283	2922	2149	1902	5055	879	5742	1480	1526
ENSG00000177707	1545	13475	912	873	4848	117	2013	2001	996	346	327
ENSG00000177710	9	14	23	17	3	5	32	13	20	15	4
ENSG00000177721	84	109	163	94	129	727	1086	96	202	368	102
ENSG00000177725	2	11	4	4	0	7	5	16	7	1	0
ENSG00000177728	8917	5213	3439	1761	5109	5866	4462	3801	10235	3334	3576
ENSG00000177731	11307	12126	10716	4679	7121	14383	17073	7334	9612	6450	13398
ENSG00000177732	5690	1701	2474	646	3151	1308	4261	1145	547	2174	1552
ENSG00000177733	10892	16345	11485	3040	10360	11683	21677	7147	6904	14596	8114
ENSG00000177736	1	6	18	1	3	0	6	4	0	2	2
ENSG00000177738	206	195	239	72	106	208	1986	188	190	297	264
ENSG00000177752	1	0	2	5	0	7	3	8	2	1	3
ENSG00000177757	15	11	48	12	9	6	24	11	22	5	7
ENSG00000177770	3	0	4	6	1	4	2	1	1	1	1
ENSG00000177776	8	16	21	12	2	6	15	12	9	32	9
ENSG00000177788	131	68	27	10	46	28	112	52	99	35	14
ENSG00000177791	90	3	25	10	19	7	132	22	3	16	19
ENSG00000177800	1	0	3	12	1	2	5	2	3	1	1
ENSG00000177803	21	3	15	13	7	15	11	13	6	4	19
ENSG00000177807	36	105	36	35	157	26	59	311	23	68	75
ENSG00000177822	4	2	13	36	5	34	34	16	2	10	5
ENSG00000177830	3470	3833	3007	1076	4441	3774	4952	2031	4513	2406	2060
ENSG00000177839	46	79	218	108	15	262	571	53	123	409	97
ENSG00000177842	353	223	605	106	218	185	389	185	323	141	111
ENSG00000177853	2023	3378	1720	972	1111	831	2376	4628	3702	1800	1251
ENSG00000177854	548	774	641	281	598	488	405	598	697	143	464
ENSG00000177855	75	30	48	18	30	24	150	45	76	60	28
ENSG00000177868	576	711	1120	350	492	536	1064	1002	354	454	238
ENSG00000177873	661	638	450	202	327	186	329	295	357	162	251
ENSG00000177875	90	35	66	19	100	40	113	40	13	123	88
ENSG00000177879	2003	3110	2859	945	2375	3520	3107	2988	2725	3787	2337
ENSG00000177885	9864	9687	6333	2727	8908	9921	11495	6952	9959	7645	6807
ENSG00000177888	1781	2376	716	507	886	565	2121	2513	2706	624	1108
ENSG00000177889	5931	10139	5027	2201	4248	5575	8947	8937	3381	8082	5383
ENSG00000177910	6	0	0	3	2	4	6	0	1	1	2
ENSG00000177917	925	2192	696	363	737	1645	2977	2151	1667	1146	1166
ENSG00000177932	110	420	417	236	274	38	214	374	66	36	137
ENSG00000177938	1	0	6	8	1	6	0	2	0	0	5
ENSG00000177943	8008	686	323	251	223	89	377	208	2901	226	180
ENSG00000177946	719	353	352	36	344	129	555	145	565	290	129
ENSG00000177947	1	6	22	17	0	9	1	4	5	4	0
ENSG00000177951	3564	5606	3233	1306	4725	2293	3535	3113	11187	4079	2409
ENSG00000177954	20987	100462	76676	33021	41974	41864	75314	13840	58235	81243	26750
ENSG00000177963	5951	6621	4843	2358	5102	4781	7865	4065	7555	4349	4302
ENSG00000177971	3625	4485	1815	589	1753	1239	3483	1364	3508	2009	2554
ENSG00000177981	2382	2581	2561	885	1646	946	2522	1434	1891	2227	1485
ENSG00000177984	6	1	7	33	0	5	2	9	9	2	2
ENSG00000177989	2908	2517	1096	488	545	1664	2454	986	962	2770	1738
ENSG00000177990	145	20	773	222	11	12	111	74	69	23	25
ENSG00000177992	1	1	1	10	10	2	0	0	0	0	0
ENSG00000177993	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177994	4	0	7	14	1	2	1	59	3	9	5
ENSG00000178015	65	14	16	16	6	22	46	66	3	17	9
ENSG00000178021	2	0	7	6	0	1	18	4	10	4	0
ENSG00000178026	6724	947	926	362	655	384	1380	229	574	532	399
ENSG00000178028	1590	1705	1933	734	1644	1010	2495	999	1818	917	1071
ENSG00000178031	123	151	460	488	863	175	288	321	79	102	309
ENSG00000178033	412	133	266	1088	83	251	4707	300	99	216	166
ENSG00000178035	4472	6127	5970	1642	11824	13502	4327	4001	4650	3689	5920
ENSG00000178038	1385	1671	785	477	911	1906	2588	1231	3747	870	5666
ENSG00000178053	898	513	558	126	811	66	186	2768	629	66	325
ENSG00000178055	6	0	10	13	2	3	10	1	1	0	0
ENSG00000178057	3585	2891	3169	1226	2691	3783	5480	1569	2333	2579	2044
ENSG00000178074	944	2624	1386	595	774	725	2689	1878	1512	1248	1174
ENSG00000178075	1092	1219	159	187	326	267	489	1067	815	489	509
ENSG00000178078	4988	5216	417	788	2834	6015	1489	2087	2395	2954	4659
ENSG00000178081	1	0	0	6	2	0	10	0	1	4	1
ENSG00000178082	72	57	60	60	36	15	95	30	60	26	65
ENSG00000178084	1	8	0	2	0	5	10	28	3	4	1
ENSG00000178093	107	155	116	31	197	121	263	68	101	96	64
ENSG00000178096	832	606	435	206	551	869	1461	772	711	735	391
ENSG00000178104	5310	3540	4534	1767	2233	1182	4012	1887	14132	2842	1787
ENSG00000178105	2116	1527	1539	504	950	1326	2383	2091	2211	1668	1150
ENSG00000178107	0	0	0	8	0	5	0	2	1	2	0
ENSG00000178115	0	0	7	0	0	0	2	1	2	0	0
ENSG00000178125	1	2	12	7	1	3	10	29	1	12	0
ENSG00000178127	669	2539	1172	461	802	864	2317	449	1091	1928	567
ENSG00000178130	0	0	0	2	0	1	0	0	0	0	0
ENSG00000178146	10	9	6	3	10	1	7	54	32	28	6
ENSG00000178149	905	801	773	380	1658	2295	1918	604	1088	422	1252
ENSG00000178150	104	74	25	10	13	173	536	28	22	173	11
ENSG00000178162	3	44	50	16	34	8	4	7	15	15	2
ENSG00000178163	900	1814	1856	747	931	783	541	1669	2517	1363	880
ENSG00000178171	0	2	2	13	21	5	3	12	2	2	1
ENSG00000178172	2	0	1	2	0	6	2	11	1	2	26
ENSG00000178175	104	116	280	63	121	67	187	195	202	19	196
ENSG00000178177	1027	1480	514	289	863	472	1380	859	1095	500	621
ENSG00000178184	278	432	585	365	288	188	615	467	145	142	2560
ENSG00000178187	37	21	175	36	10	13	58	81	21	24	32
ENSG00000178188	2826	2671	2633	940	2682	2896	2251	1436	4024	1531	2253
ENSG00000178199	115	728	856	342	921	140	276	524	311	324	237
ENSG00000178201	4	39	265	46	5	26	112	44	74	45	29
ENSG00000178202	3635	2632	4414	1558	1018	1002	4694	3407	2186	1672	2647
ENSG00000178209	115172	37424	107854	28064	42781	80501	176878	26180	216274	54293	56558
ENSG00000178217	3	2	8	18	6	15	24	12	6	18	1
ENSG00000178222	2293	156	155	56	334	41	65	19	15	30	70
ENSG00000178226	255	140	63	85	264	149	88	86	182	156	136
ENSG00000178229	320	681	818	201	171	271	919	252	647	568	528
ENSG00000178233	22	15	37	14	8	12	20	4	12	6	9
ENSG00000178234	4466	3319	2047	787	1328	816	2254	1271	1973	1312	1782
ENSG00000178235	1	1	13	13	4	6	41	21	2	9	6
ENSG00000178243	0	0	0	1	0	0	0	0	0	0	0
ENSG00000178248	1	1	3	7	1	1	0	7	3	6	1
ENSG00000178252	5962	2941	6487	2051	4525	4541	4661	2493	5435	969	6098
ENSG00000178257	0	1	0	3	0	0	0	0	0	0	0
ENSG00000178279	0	0	1	4	1	0	2	0	0	0	0
ENSG00000178287	0	0	2	0	0	0	0	20	0	1	0
ENSG00000178295	474	1343	441	449	380	491	1045	2395	946	801	641
ENSG00000178297	11	25	256	33	4	22	169	55	31	69	26
ENSG00000178301	353	333	131	57	304	229	327	130	194	389	66
ENSG00000178307	1079	1951	1100	423	1119	2384	2035	1708	1393	1814	1552
ENSG00000178338	170	685	513	222	171	174	406	507	323	393	312
ENSG00000178342	21	32	20	7	12	26	29	12	16	12	12
ENSG00000178343	128	45	1219	283	71	9	69	203	8	90	70
ENSG00000178358	0	0	0	3	0	2	5	0	0	0	0
ENSG00000178363	0	0	16	51	1	5	6	1171	37	27	33602
ENSG00000178372	0	0	0	1	0	18	2	75	28	0	596
ENSG00000178381	701	2184	534	326	453	1252	1234	3781	2149	1740	462
ENSG00000178385	253	165	375	223	262	197	410	290	309	99	231
ENSG00000178386	69	155	81	64	15	36	42	63	275	33	37
ENSG00000178394	0	0	0	0	0	2	0	0	0	1	0
ENSG00000178395	3	0	3	2	1	5	28	2	3	5	7
ENSG00000178397	1612	1131	847	409	667	765	1822	843	905	726	1079
ENSG00000178401	1599	5810	467	338	1639	509	3165	598	2288	2479	449
ENSG00000178403	0	0	7	8	0	7	15	0	0	1	0
ENSG00000178404	20	5	121	17	16	23	115	15	29	25	23
ENSG00000178409	731	874	250	169	977	736	1063	759	994	519	442
ENSG00000178412	3	5	2	4	1	3	3	0	0	0	1
ENSG00000178425	1126	2910	2537	1138	1279	1559	5646	3364	2463	1157	1778
ENSG00000178429	54	122	337	93	151	98	188	90	121	47	215
ENSG00000178440	2	18	63	23	0	1	50	43	37	21	6
ENSG00000178445	94	78	29	48	250	19	49	3978	14	59	54
ENSG00000178449	2207	4460	2171	773	1785	1554	1551	1572	1401	2829	1112
ENSG00000178457	0	0	18	1	1	0	1	0	0	0	0
ENSG00000178458	111	978	79	46	45	24	219	31	78	107	28
ENSG00000178460	69	53	67	61	62	126	49	469	123	34	40
ENSG00000178462	1	9	28	22	13	11	19	72	10	21	15
ENSG00000178464	356	702	1641	851	344	538	925	164	730	718	433
ENSG00000178467	1788	2657	1478	598	2365	917	3435	1084	2521	1244	1028
ENSG00000178473	99	20	2	2	12	2	396	5	12	0	0
ENSG00000178498	2910	405	3921	1090	811	241	1479	827	124	991	566
ENSG00000178502	313	396	360	165	165	409	248	386	564	79	212
ENSG00000178503	0	1	0	2	0	2	2	2	0	0	0
ENSG00000178522	0	0	2	2	1	0	2	4	0	0	2
ENSG00000178531	558	199	2894	72	147	714	584	612	81	1023	152
ENSG00000178537	1295	1165	872	453	2201	384	951	761	1077	329	478
ENSG00000178538	1055	100	93	47	1904	27	410	612	850	23	209
ENSG00000178556	1	1	0	0	0	0	3	4	3	1	1
ENSG00000178562	90	206	376	258	251	59	187	506	71	47	364
ENSG00000178567	2109	690	5317	1507	1190	556	2391	2329	2189	443	1659
ENSG00000178568	6	4	34	54	3	15	14	118	9	13	11
ENSG00000178573	1237	2037	7325	1349	1593	1720	3206	2413	450	2627	4631
ENSG00000178585	1851	2134	1051	510	3361	2610	2441	1542	1875	1232	6818
ENSG00000178586	0	0	0	4	0	0	1	0	0	3	0
ENSG00000178591	0	0	1	5	0	0	0	2	0	0	0
ENSG00000178596	4	3	2	1	0	6	2	8	1	0	0
ENSG00000178597	8	1845	28	5	474	108	1326	11	170	44	44
ENSG00000178602	0	0	0	2	0	4	2	1	0	0	0
ENSG00000178605	5747	3590	1880	919	1570	1105	2165	1284	2832	2004	2111
ENSG00000178607	1601	2214	1353	668	2860	1571	1880	3924	4251	1857	2136
ENSG00000178623	4638	3234	727	480	3374	3446	4567	2262	6860	3573	557
ENSG00000178631	50	49	81	35	22	31	56	44	52	17	38
ENSG00000178636	5	4	8	5	5	3	3	8	7	0	1
ENSG00000178645	0	0	0	13	0	2	0	1	1	0	0
ENSG00000178654	8	2	8	6	3	4	12	19	16	8	1
ENSG00000178660	26	15	29	18	6	9	38	15	22	9	19
ENSG00000178662	216	40	403	166	49	26	781	117	95	138	287
ENSG00000178665	178	307	276	87	44	57	379	276	261	253	128
ENSG00000178685	7811	8171	4026	1436	3721	1853	4685	1730	6060	3237	5015
ENSG00000178690	0	6	0	11	3	0	1	151	6	4	2453
ENSG00000178691	3669	6000	2150	1010	2240	4363	2449	4500	4123	7380	2577
ENSG00000178694	839	1219	672	293	549	312	1531	1195	1029	648	530
ENSG00000178695	3899	5457	18075	6679	2739	1832	8410	8012	9506	2490	6112
ENSG00000178700	655	785	965	287	472	170	810	477	984	507	253
ENSG00000178715	47	128	260	75	56	56	368	68	114	91	92
ENSG00000178718	12400	5615	597	449	2288	3263	4158	709	3036	2957	1281
ENSG00000178719	35489	9021	10635	5712	18123	12117	14191	8068	11410	24990	10358
ENSG00000178722	1	0	1	15	0	8	5	7	2	2	3
ENSG00000178723	9	1	34	7	5	4	22	25	8	5	6
ENSG00000178726	1411	809	2003	1187	1811	957	2143	3385	1029	881	9881
ENSG00000178732	17	4	20	20	50	19	30	19	7	24	8
ENSG00000178734	1	4	30	1	0	0	9	26	19	8	2
ENSG00000178741	11672	10431	3579	2228	5774	5655	6354	4457	9067	7259	4348
ENSG00000178750	307	650	71	27	43	40	142	354	897	102	326
ENSG00000178752	92	129	7	6	44	273	99	81	115	43	71
ENSG00000178761	1101	629	1470	413	291	381	985	352	609	180	1029
ENSG00000178762	1	0	1	0	0	0	0	0	0	0	0
ENSG00000178764	1511	1912	3235	957	1275	469	2615	1973	4510	1898	2005
ENSG00000178772	1	1	1	3	11	8	14	1	1	2	3
ENSG00000178773	40	1389	89	127	134	350	702	346	285	397	133
ENSG00000178776	0	13	2	14	1	450	96	25	2	63	5
ENSG00000178789	35	106	6	19	37	26	28	123	4	13	131
ENSG00000178795	6	12	15	17	23	12	8	22	23	10	0
ENSG00000178796	0	1	38	18	14	7	12	84	6	125	9
ENSG00000178802	3128	2830	2385	699	1824	1742	1564	1031	3428	1084	1891
ENSG00000178803	95	1	24	18	67	6	24	35	4	1	14
ENSG00000178804	0	0	2	12	0	4	2	1	0	0	0
ENSG00000178809	7	15	23	8	1	3	21	10	23	10	10
ENSG00000178814	4455	4535	1173	522	2589	716	2991	722	7662	1432	1988
ENSG00000178821	195	623	66	51	290	234	147	326	316	311	238
ENSG00000178826	2094	2509	119	222	2691	1380	2212	291	1135	1308	31
ENSG00000178828	280	197	15	432	753	53	589	849	308	276	18
ENSG00000178836	3	0	0	2	1	0	17	0	0	0	0
ENSG00000178852	238	267	374	164	101	82	323	333	320	229	104
ENSG00000178860	2084	783	883	412	447	847	2080	475	210	257	476
ENSG00000178878	909	776	1231	1107	728	541	1879	2336	1452	260	1454
ENSG00000178882	754	6940	418	181	3166	426	9695	279	6495	760	341
ENSG00000178896	1516	1303	687	347	1311	1423	1778	541	1501	1671	735
ENSG00000178904	1107	1383	1156	636	1862	444	1814	2052	2011	527	811
ENSG00000178913	3599	6772	5211	2396	2995	4493	5944	5992	7823	5870	4453
ENSG00000178917	148	166	271	98	109	77	215	149	161	54	77
ENSG00000178919	53	338	7	10	15	2	2	107	5	4	1744
ENSG00000178921	731	2817	1331	376	1608	1993	1626	722	1401	1067	947
ENSG00000178922	723	630	710	166	510	495	1722	209	459	275	268
ENSG00000178927	6668	3213	3304	1443	4130	4149	5095	3683	4775	4411	2749
ENSG00000178928	1	0	2	4	0	0	1	4	1	0	0
ENSG00000178934	45	9	6	0	24	9	15	306	2035	92	2453
ENSG00000178935	679	441	579	162	355	172	1283	245	1179	654	418
ENSG00000178947	39	156	254	42	126	23	137	35	49	296	161
ENSG00000178950	9352	10250	5452	2122	9589	6996	9705	6527	9853	6516	8345
ENSG00000178951	11126	23113	16552	3996	7490	11381	22279	5440	14410	8235	15898
ENSG00000178952	13163	12849	6562	2071	14224	25962	10537	7176	11543	8992	7661
ENSG00000178965	2	14	79	30	359	6	6	32	20	13	5
ENSG00000178966	576	1677	364	398	516	455	501	2032	1543	680	612
ENSG00000178971	1640	2044	2787	1160	1488	1156	2117	1431	2193	1373	1175
ENSG00000178974	1297	3082	1550	790	1853	1263	3118	2576	3309	1367	4060
ENSG00000178977	117	84	206	60	94	34	209	222	409	480	91
ENSG00000178980	7736	7852	23763	6914	6147	8624	17386	4724	17168	11722	6720
ENSG00000178982	8263	11383	9249	3323	5154	8273	9545	7056	9338	7301	6005
ENSG00000178988	2781	2954	2991	884	2234	2336	3985	3027	2658	2685	2110
ENSG00000178996	2313	2473	2567	1622	2282	1052	3771	1542	2084	1323	1759
ENSG00000178997	4	0	2	4	2	4	14	23	4	11	0
ENSG00000178999	524	1981	148	241	718	4386	1343	898	680	1492	368
ENSG00000179002	0	0	0	7	0	1	2	1	0	2	0
ENSG00000179008	1	4	89	23	0	8	3	16	0	1	1
ENSG00000179010	11359	12669	11771	4058	10433	11325	13352	9980	7821	9810	8023
ENSG00000179021	1700	2285	1031	505	899	1004	2129	1958	1082	852	1426
ENSG00000179023	6052	759	4	16	1219	74	344	43	694	279	542
ENSG00000179028	0	0	0	0	0	0	0	1	0	0	0
ENSG00000179029	397	730	367	167	443	518	285	443	268	530	286
