TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000005108	162	171	765	136	88	72	872	313	276	118	307
ENSG00000005156	1992	1504	1499	657	1184	1934	1078	2470	3328	612	1379
ENSG00000005175	1722	4360	1493	793	1202	1366	3102	2940	1649	2359	1391
ENSG00000005187	6178	2105	260	92	1619	265	323	529	624	514	1145
ENSG00000005189	342	374	183	89	488	164	168	779	427	183	271
ENSG00000005194	3725	2156	1139	416	2630	2108	2575	3273	3500	1758	2113
ENSG00000005206	2333	3969	4234	1342	1411	1771	4021	3265	5739	2477	1693
ENSG00000005238	1416	1417	1244	589	1661	1242	4218	1529	3701	1260	2819
ENSG00000005243	536	180	2085	452	117	422	964	244	387	955	279
ENSG00000005249	319	700	5562	2914	426	66	417	1071	360	235	721
ENSG00000005302	909	2425	1691	1204	1099	1177	1650	3026	3120	1192	1790
ENSG00000005339	14043	12591	12647	6120	10089	6429	10791	8144	16990	8832	9000
ENSG00000005379	40	215	1835	596	271	35	399	721	174	259	448
ENSG00000005381	10	17	13	16	5	20	4	11	3	26	2
ENSG00000005421	4	3	13	15	10	6	105	21	48	278	4
ENSG00000005436	1235	2424	1738	712	419	781	1116	2000	1115	965	936
ENSG00000005448	391	588	520	192	1298	3441	714	1013	525	541	200
ENSG00000005469	3514	1013	1083	563	604	242	955	1181	876	416	2094
ENSG00000005471	54	15	347	88	51	23	101	82	47	62	77
ENSG00000005483	7934	13147	10545	5171	4273	4026	11125	5893	16370	5374	5498
ENSG00000005486	19488	8993	3221	2589	8204	9305	10057	5646	13987	10046	5424
ENSG00000005513	53	105	693	117	135	13	133	128	200	158	94
ENSG00000005700	2241	10911	3019	1389	1712	1556	4802	7722	14709	2903	4420
ENSG00000005801	419	2056	952	590	497	572	1913	1391	2570	1735	669
ENSG00000005810	2579	7125	5809	2569	4160	2221	4233	7423	6516	1454	9327
ENSG00000005812	2392	4314	4540	2432	2818	1862	5231	3887	6634	1638	3535
ENSG00000005844	841	2567	2114	1199	1955	449	1518	2071	472	331	2121
ENSG00000005882	5493	2471	5519	1284	4136	1921	1513	2254	3133	1473	1905
ENSG00000005884	31227	5975	21027	3186	17650	84750	30304	7397	40118	17274	7952
ENSG00000005889	1246	4650	2516	1530	1356	856	2302	3743	3459	3683	1387
ENSG00000005893	15483	9314	4354	4329	5831	4825	15703	12512	13281	5454	13342
ENSG00000005961	6	25	25	18	4	33	26	33	7	20	44
ENSG00000005981	137	3	4	13	35	6	54	3	4184	879	102
ENSG00000006007	9147	9504	5866	3092	4238	6485	7353	5228	6236	4715	4171
ENSG00000006015	1101	2511	1464	535	1167	1634	2390	812	1550	1299	789
ENSG00000006016	17	66	396	17	43	41	1615	144	34	84	292
ENSG00000006025	2141	1904	892	482	3184	1836	2495	855	4041	1052	464
ENSG00000006042	8731	2799	2924	1050	2330	1303	3782	2073	3680	1375	1029
ENSG00000006047	466	372	253	529	320	1068	126	2485	724	1809	62
ENSG00000006059	0	0	3	12	0	0	1	16	2	3	145
ENSG00000006062	1063	1998	3143	1188	1615	1443	1156	1593	1413	1345	2476
ENSG00000006071	3	34	12	15	25	6	4	27	140	12	4
ENSG00000006116	0	0	3	10	0	3	4	1	2	1	0
ENSG00000006118	5131	1067	315	338	2126	6167	3579	933	881	1383	2746
ENSG00000006125	18495	21835	13564	5689	15959	34660	13583	26325	42762	4163	9788
ENSG00000006128	9	15	112	88	2	4	58	4	1	297	0
ENSG00000006194	2342	2272	1487	460	1579	951	1366	1432	2893	1512	1313
ENSG00000006210	3545	3183	2911	446	1791	770	2082	1641	1061	475	3052
ENSG00000006282	9960	7526	3613	1411	1970	2044	5585	1489	2713	3805	1790
ENSG00000006283	50	33	22	31	3	29	29	33	21	14	40
ENSG00000006327	15456	6274	926	1515	5932	17788	19372	2633	4235	12185	2778
ENSG00000006377	6	340	4	5	103	2	186	361	50	2054	1
ENSG00000006432	323	639	391	359	1170	906	1237	862	2007	638	2169
ENSG00000006451	2718	6959	1952	1192	2126	6613	6680	4861	5639	3136	5702
ENSG00000006453	7381	12619	1075	1501	4966	8480	12102	5843	23479	35746	3716
ENSG00000006459	834	4573	1852	903	1395	664	1901	3259	5332	820	3765
ENSG00000006468	993	472	1632	437	106	408	1560	2582	1754	495	307
ENSG00000006530	1011	2783	1737	685	1026	1481	2094	1434	2523	2038	1119
ENSG00000006534	6167	2393	1554	359	6771	6978	7192	1338	20523	2756	1866
ENSG00000006555	4947	4241	562	401	3512	1485	2814	2122	5301	2548	13425
ENSG00000006576	1271	1482	1334	893	530	933	1830	2154	1383	697	1062
ENSG00000006606	20	12	16	19	9	51	313	49	5	61	10
ENSG00000006607	7107	5652	2213	1051	3445	2371	6155	4861	8669	3277	3122
ENSG00000006611	15151	7261	1095	1420	5044	1248	2539	2925	5686	6130	1527
ENSG00000006625	1963	5822	1007	550	964	1740	1330	1634	3339	3765	1527
ENSG00000006634	761	2843	440	326	546	1257	1089	1499	2095	8026	577
ENSG00000006638	204	136	1322	76	142	166	709	83	130	147	185
ENSG00000006652	1420	3001	2096	960	579	3471	2400	3831	4138	1394	1266
ENSG00000006659	0	0	1	6	1	1	0	2	0	1	0
ENSG00000006695	889	1572	733	585	693	1243	1256	1028	1149	788	974
ENSG00000006704	6315	2624	3827	1021	1921	6086	3671	3112	2518	4066	3300
ENSG00000006712	5649	4030	3529	974	2110	3058	4877	2342	5274	2112	3398
ENSG00000006715	7908	5329	3665	1490	1899	2036	3974	3050	10813	2104	2747
ENSG00000006740	2064	1623	769	165	1639	278	956	596	441	961	681
ENSG00000006744	3762	4993	4700	1547	3254	5514	4081	2251	3572	2517	3817
ENSG00000006747	58	712	358	120	282	302	1246	752	8013	222	2938
ENSG00000006756	6098	5708	2000	1445	3093	1337	3387	3456	7181	2577	2038
ENSG00000006757	689	3161	989	306	1311	940	234	1506	655	1875	637
ENSG00000006788	5	1	12	23	4	11	13	42	10	5	4
ENSG00000006831	4263	6615	3266	1604	2208	5916	2998	5056	5928	1817	5319
ENSG00000006837	16	34	57	29	31	29	63	66	35	57	17
ENSG00000007001	12	1	7	10	2	3	31	17	11	21	3
ENSG00000007038	702	17	21	4	598	2356	2095	72	790	1690	34
ENSG00000007047	3683	3085	3267	776	1500	1938	6833	1011	3333	2224	2988
ENSG00000007062	18830	21630	344	1948	11352	394	7954	6818	6534	57	3350
ENSG00000007080	2276	2908	3644	701	2947	6135	4232	1905	1843	2572	2596
ENSG00000007129	43	72	56	74	119	22	123	127	7	22	65
ENSG00000007168	4561	8093	8036	4354	4035	4674	6266	6967	6115	3513	7381
ENSG00000007171	45	1519	71	699	2466	66	39	6258	219	15	83
ENSG00000007174	12	21	36	157	4	30	31	255	18	33	35
ENSG00000007202	9537	9270	6049	3576	10281	12741	5763	8595	13260	5335	7681
ENSG00000007216	42	24	0	22	4350	7	0	10	52	97	222
ENSG00000007237	3263	1421	2202	1117	822	616	2418	2387	627	902	3640
ENSG00000007255	1382	1190	580	229	564	983	1998	226	875	414	510
ENSG00000007264	48	463	55	41	169	83	141	60	48	138	129
ENSG00000007306	317	665	31	20	12967	21	83	1696	1077	3462	6382
ENSG00000007312	88	202	1732	431	1209	67	310	249	86	88	559
ENSG00000007314	5	10	45	19	21	27	89	29	11	9	7
ENSG00000007341	710	1077	790	311	540	457	1079	593	921	340	573
ENSG00000007350	836	1	10	7	968	11	6	24	3	4936	9
ENSG00000007372	80	1050	288	191	117	56	577	137	120	934	98
ENSG00000007376	2674	2746	912	455	1520	3389	1689	905	4882	2750	1305
ENSG00000007384	4840	2843	1339	843	1120	2077	3952	1338	4412	2375	1927
ENSG00000007392	600	2015	1921	760	396	924	1945	2143	1599	1155	855
