TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000004866	2958	5126	2266	6236	7249	10074	2888	5128	2760	3742	4933	10774	1340	2918
ENSG00000004897	4478	7395	3771	2236	11037	4102	4503	6689	9758	5776	8960	5846	6367	9156
ENSG00000004939	0	2	3	5	1	1	0	0	4	4	3	0	0	0
ENSG00000004948	2	2	7	1	33	13	6	30	11	7	40	4	94	55
ENSG00000004961	1294	1494	1805	1655	2063	1490	1128	1840	2368	1933	2974	2696	1190	1277
ENSG00000004975	4557	10267	2107	5937	2166	2864	5554	2664	7075	7738	6779	4717	8269	7023
ENSG00000005001	5	25	21	2	8	5	0	39	2	0	7	14	16	1
ENSG00000005007	7501	5796	6155	7164	9511	7210	7091	4825	15126	8458	12479	7918	6434	16843
ENSG00000005020	7011	288	1258	1291	4806	7166	4994	2580	2751	2983	16243	783	3377	4707
ENSG00000005022	21056	18979	16814	18976	23014	29171	32431	17895	36980	19735	59865	53391	20193	23616
ENSG00000005059	166	272	157	96	423	164	1090	377	191	33	1891	176	277	962
ENSG00000005073	404	763	315	130	145	169	151	351	2	310	356	179	11	382
ENSG00000005075	1389	3149	707	4728	2022	2229	2547	3381	1618	2211	3097	4522	852	2120
ENSG00000005100	6186	10101	2445	5034	4802	3867	7685	3823	4417	5116	9021	2717	6418	7450
ENSG00000005102	158	63	7	1	75	58	103	29	84	60	81	257	16	287
ENSG00000005108	67	120	27	6	107	239	38	29	69	29	91	84	95	673
ENSG00000005156	2303	3098	3253	3716	8436	1582	2341	3420	3701	3054	3861	2059	1951	4568
ENSG00000005175	2396	1436	514	393	3301	1634	1936	1777	2494	3165	2736	654	2131	2832
ENSG00000005187	15	34	17	5	180	26	64	7	80	512	157	22	138	368
ENSG00000005189	145	415	78	266	296	516	379	806	282	382	629	770	269	411
ENSG00000005194	4903	2241	1648	3684	2832	3778	3591	4807	3109	4657	6586	12226	2788	5622
ENSG00000005206	2502	1392	1373	1836	1513	2712	2986	1569	3226	3245	4863	1999	2872	3625
ENSG00000005238	3448	1931	1520	1067	2935	2773	1897	3867	2089	1391	2524	2834	2517	1624
ENSG00000005243	428	251	848	1047	164	1216	1304	1108	63	40	3595	3355	49	960
ENSG00000005249	439	2723	54	138	1208	359	1967	914	915	488	3079	297	1609	646
