TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000033627	3765	954	3260	3872	1928	3728	2873	1277	2254	1608	2879	1713	1969	3647	4874	3315	3831	658	2254	2555
ENSG00000033800	2529	986	1880	1171	960	1223	1763	727	1817	1043	1417	2755	2053	4438	1791	3337	2163	885	401	976
ENSG00000033867	1388	2173	3731	376	590	622	493	638	1449	2086	588	553	863	1762	1276	804	568	1930	603	2191
ENSG00000034053	126	405	1828	191	310	283	231	134	198	285	344	107	1303	111	563	285	25	1117	443	3278
ENSG00000034152	2902	2589	4040	3960	3590	3254	3043	1607	3890	2653	3425	8611	1399	2043	6193	3928	4349	1546	2770	3314
ENSG00000034239	44	488	91	1	86	5	59	12	13	82	464	50	12	4	374	650	823	5	18	171
ENSG00000034510	20856	21561	73089	225890	68790	89041	43104	10161	65084	44634	164590	122247	85055	39555	32852	137875	79333	36983	58648	232938
ENSG00000034533	593	628	788	243	403	479	469	226	246	458	410	561	290	1239	524	420	273	422	336	292
ENSG00000034677	7949	3705	12199	544	7611	2243	3201	2093	4818	11484	2542	2779	2811	10434	4488	3022	2425	20626	1295	819
ENSG00000034693	812	858	1442	507	517	858	1106	370	984	508	2160	1422	331	1429	494	860	1024	793	251	852
ENSG00000034713	4966	3595	4639	2008	2711	3653	2063	2165	1949	3775	3808	4494	3937	3220	3937	9401	3319	1809	2813	3232
ENSG00000034971	5	0	20	0	1	0	1	3	0	0	0	1	2	2	19	0	41	3	7	0
ENSG00000035115	6733	1864	8378	142	4620	1142	3322	1945	536	7660	986	3014	3026	3689	4135	2204	2344	8811	2567	582
ENSG00000035141	2956	2965	5491	2684	2617	2475	2715	873	4402	3915	3213	2956	2636	2268	1739	2051	3546	3957	1426	3138
ENSG00000035403	18689	11170	15866	9925	3238	13252	17141	4052	15946	12752	8258	21377	8391	12675	17156	14417	17506	7174	6549	6510
ENSG00000035499	247	906	821	346	188	743	1165	162	624	450	1319	1248	220	751	120	1136	453	302	376	608
ENSG00000035664	527	94	246	398	74	105	34	119	298	344	138	253	252	1504	93	147	161	34	95	124
ENSG00000035681	4330	1985	2525	962	2044	1191	2378	1221	2127	3945	1145	2215	946	2353	2293	1446	2237	2174	1581	835
ENSG00000035687	8946	5129	6777	1224	1720	6945	5494	1746	3258	2848	3042	5249	2658	5680	4846	2692	3461	3460	2069	2146
ENSG00000035720	60	1	50	10	91	4	30	1	10	5	13	21	12	166	51	91	7	5	17	1
ENSG00000035862	6026	3983	14680	9445	4383	19500	17566	8492	12782	1471	28687	3539	35388	3101	46410	71696	2889	1680	10480	25261
ENSG00000035928	3102	1847	5199	1289	995	3382	2260	1189	2270	1747	2215	3822	1553	3284	2501	6006	1583	1629	1052	2255
ENSG00000036054	2287	1641	1380	938	1062	2646	2022	954	1203	1236	2457	4622	1369	3450	1493	2337	1270	1039	932	1084
ENSG00000036257	2166	1886	3195	1107	2678	2715	3004	1427	3489	2562	2522	4859	1412	3709	3211	3150	4351	2008	806	2339
ENSG00000036448	39	10	72	37	31	9	14	1	52	23	48	93	19	45	95	19	100	2	29	187
ENSG00000036473	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000036530	22	10	51	51	8	28	18	10	4	6	12	4	14	17	27	33	10	13	8	40
ENSG00000036549	2869	1625	3254	817	1157	1634	2033	859	1718	2121	1329	2443	947	3328	1474	3824	1874	1617	792	976
ENSG00000036565	2	2	2	0	7	2	1	0	0	6	0	3	1	12	5	9	0	0	2	2
ENSG00000036672	127	66	182	36	137	83	103	13	158	15	119	268	45	174	460	17	109	36	52	377
ENSG00000036828	7	0	0	1	10	0	1	0	2	24	1	1	0	5	1	5	2	128	64	0
ENSG00000037042	1422	670	1320	1034	1118	670	420	434	1171	867	1172	875	751	1047	1495	1830	1422	535	611	795
ENSG00000037241	733	445	950	1526	665	1172	948	322	799	332	1413	1410	539	1051	849	1043	681	416	867	2579
ENSG00000037280	249	145	743	315	337	273	575	197	560	189	105	113	280	284	538	369	95	322	283	1097
ENSG00000037474	3086	7998	9509	2662	3405	23134	11357	2085	16905	7830	10080	9316	4411	7754	3108	14173	9916	6808	1648	3995
ENSG00000037637	2227	1535	3643	1062	1697	1981	1026	641	1071	1785	1494	2909	1234	3341	1897	2839	1913	1328	910	2102
ENSG00000037749	835	738	783	143	236	537	1541	185	996	248	378	1346	430	1439	745	484	526	737	117	192
ENSG00000037757	2803	976	1402	290	508	1266	1520	467	831	1668	918	1672	1361	2098	1608	299	1900	1427	302	1273
ENSG00000037897	1356	729	2455	1888	869	1400	838	630	2064	994	2535	1292	655	1408	968	1425	1244	368	1271	2387
ENSG00000037965	32	50	26	120	294	28	2	2	44	66	38	153	42	3	8	4	76	82	36	497
ENSG00000038002	1909	567	2271	701	821	1294	980	757	829	560	1034	2038	500	1894	1052	2970	1229	313	687	537
ENSG00000038210	1195	375	651	652	461	1153	949	905	1369	911	1501	2363	546	2269	948	2845	575	310	446	1444
ENSG00000038219	2517	2511	3093	543	1640	2185	2067	1197	4102	2242	1420	3192	1475	3513	2574	4275	1671	2804	572	1104
ENSG00000038274	5903	2015	6712	1148	2564	2621	3843	1556	2457	2839	2790	5765	3223	8511	4010	3918	2121	2842	1404	2063
ENSG00000038295	114	23	95	11	43	12	144	62	470	13	13	46	51	54	141	4	101	29	48	4
ENSG00000038358	2878	1979	5795	654	780	2083	1716	963	2224	1805	1633	2584	1823	7685	2393	5097	2528	1511	766	3176
ENSG00000038382	3742	15472	6885	1878	1769	13972	7780	997	7246	7376	8383	4066	3408	8396	5450	19786	6335	4998	1290	8567
ENSG00000038427	2396	3494	8138	2761	2187	5668	14224	6938	14976	908	4473	1038	22702	1193	35620	9794	1261	1334	5028	9215
ENSG00000038532	2256	837	2996	1283	1242	1763	2026	633	1274	2069	2235	2226	1793	7893	2213	2672	1926	2440	972	2193
ENSG00000038945	165	212	1268	1181	97	475	1806	342	490	488	410	522	622	603	1308	1270	287	167	544	69
ENSG00000039068	44874	62539	52826	54	19846	34857	3732	21108	22516	20762	20004	41953	32885	57409	28675	61617	30427	18055	16209	683
ENSG00000039123	3728	2339	3934	1268	813	1983	3455	918	2443	2613	2723	5288	1226	3052	2162	2635	1907	1693	1090	2948
ENSG00000039139	1020	193	495	71	140	785	12	5	110	663	227	690	25	412	90	149	57	81	75	136
ENSG00000039319	4253	1469	1768	603	2764	1554	1563	700	1752	1231	1278	2384	1924	5035	2177	2010	895	2527	736	926
ENSG00000039523	4160	3866	5127	4644	3018	2965	2894	1048	4348	2624	3667	4942	2905	3082	6075	18785	2871	1228	2833	8833
ENSG00000039537	14	0	23	1	0	2	0	2	1	14	1	0	0	5	10	5	0	123	7	1
ENSG00000039560	3723	27601	7842	2462	1823	6264	7674	3001	8008	4621	10566	3006	4217	6374	6366	9253	13765	2560	4437	2499
ENSG00000039600	16	111	110	1	39	8	3	2	23	3	11	19	6	7	8	18	11	7	7	28
ENSG00000039650	1654	1533	7665	2463	1664	3675	834	1339	2069	3617	2080	2249	1223	4141	2418	3206	866	1298	2744	3553
ENSG00000039987	1	2	1	0	0	4	51	0	229	0	1	0	2	4	2	2	85	0	0	4
ENSG00000040199	538	341	476	375	303	696	236	175	694	305	771	323	606	1440	429	995	281	293	153	574
ENSG00000040275	438	693	1697	626	563	1451	1111	237	921	298	867	1007	443	1677	523	724	641	362	453	3363
ENSG00000040341	3457	1790	3948	675	2496	1484	1348	881	1212	1642	956	939	1191	1879	2111	654	1251	1864	621	786
ENSG00000040487	864	819	1967	1029	1706	1319	462	404	661	1189	1476	1195	850	1793	1513	3188	1036	555	1659	1760
ENSG00000040531	1055	336	1137	822	389	1202	798	208	1411	593	1030	387	610	1176	1224	2028	1442	732	575	1370
ENSG00000040608	292	418	707	12	953	362	147	68	306	651	1583	677	277	481	375	2679	912	206	308	723
ENSG00000040633	2268	1021	2094	2587	1144	2582	1892	513	2526	1700	1845	2654	1372	1420	1733	3324	3340	1821	1562	5551
ENSG00000040731	0	11	0	0	0	0	4	0	0	0	16	0	0	0	1	3	1	1	2	0
ENSG00000040933	3007	1062	6079	896	3403	926	2005	1333	1171	5367	2443	1733	1195	3198	2274	1028	989	1430	1097	1085
ENSG00000041353	9558	465	1355	76	728	868	2022	2094	1504	2008	1296	4939	929	7034	828	3220	5779	1241	1287	2452
ENSG00000041357	6957	7125	17957	9493	6950	7280	7940	3209	11537	4909	8395	16070	5387	10945	5659	9605	9203	4393	5495	11438
ENSG00000041515	9	1	32	1	4	4	13	6	7	2	106	332	31	8	17	56	54	5	0	3
ENSG00000041802	3682	3225	7384	1382	3735	4550	2567	1886	2781	2671	2823	3937	1155	5772	2594	7615	2939	2957	2188	2555
ENSG00000041880	2296	580	425	1195	294	464	1298	468	765	1307	1147	616	698	2881	2020	1700	244	505	318	2384
ENSG00000041982	1865	1171	5878	14023	1398	26579	6440	599	9350	260	4662	22629	9538	872	9522	31302	26972	207	7493	88690
ENSG00000041988	950	550	1868	941	1065	713	320	420	442	1329	772	576	546	1169	665	725	776	596	966	1677
ENSG00000042062	263	84	287	10	111	234	168	28	373	281	560	189	1194	444	1079	392	145	146	123	160
ENSG00000042088	1731	1549	3170	865	771	1112	1035	609	2241	1328	1343	787	513	2474	852	2516	1557	1062	820	1230
ENSG00000042286	1826	643	2257	3364	656	819	1228	239	643	1154	1570	1440	668	2618	1182	1545	671	1416	1069	2449
ENSG00000042304	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	0
ENSG00000042317	438	414	657	213	227	392	265	140	311	289	662	203	289	637	356	623	235	242	289	550
ENSG00000042429	1737	745	1644	483	891	1207	1444	615	1884	1249	1321	2111	1074	1711	1229	2026	845	1007	607	1685
ENSG00000042445	4790	3812	2040	2585	3863	4857	3725	1316	5713	4517	6379	2521	3360	3549	7932	3595	3361	2389	1379	2007
ENSG00000042493	9297	7810	7276	10168	5144	19849	17314	8718	14036	12226	14776	9891	9551	15922	20868	33925	9921	1068	15717	17491
ENSG00000042753	3181	4203	6751	22891	4299	14215	3217	2290	7470	8837	5888	7789	3970	4534	3603	6435	7669	2481	6602	14427
ENSG00000042781	23	4	14	6	14	3	4	5	10	5	4	6	5	5	9	5	6	12	2	1
ENSG00000042813	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0
ENSG00000042832	44	7	15	347	15	54	57	9	24	590	8	17	11765	130	1205	24	14	10	57	163
ENSG00000042980	208	12	226	48	165	48	257	97	612	258	793	761	543	747	351	332	402	43	98	63
ENSG00000043039	213	45	28	0	73	1988	4881	65	159	17	92	6194	23	56	4	114	1114	134	57	5
ENSG00000043093	2173	3360	3673	678	1705	2224	2573	970	1228	1631	1401	4314	1502	3521	1463	3422	2077	2074	1060	916
ENSG00000043143	3654	1136	3242	1207	517	433	2657	191	719	2283	2008	5677	1290	6717	2093	3358	560	1030	759	292
ENSG00000043355	386	158	1	7	1	320	468	168	375	40	414	35	1556	111	57	6	327	15	107	5792
ENSG00000043462	459	157	630	1567	443	383	1119	166	2602	219	649	499	863	1833	788	2087	221	108	399	72
ENSG00000043514	2057	1585	4786	641	8409	1179	1290	997	1471	3029	1391	1897	1080	3027	1865	1485	1846	1763	1622	1343
ENSG00000043591	53	188	44	64	73	14	19	26	8	91	8	98	9	71	927	2	126	156	157	5
ENSG00000044012	2	0	0	0	1	0	0	0	1	0	0	0	0	2	2	0	2	0	19	0
ENSG00000044090	5634	2232	1556	2070	1028	2031	1342	4797	2827	2611	3269	3047	1913	3282	3264	3550	1933	1708	1614	5438
ENSG00000044115	20612	9752	20983	12455	9528	33233	21827	8874	20497	9625	18114	34114	15919	32231	18957	28643	18368	15732	9026	24267
ENSG00000044446	2005	1482	1477	945	1306	2141	1388	608	1776	1743	2964	1914	1367	1441	1449	1177	1374	2483	1286	1019
ENSG00000044459	81	228	262	399	193	591	148	34	246	129	145	972	227	1479	264	1290	466	70	78	349
ENSG00000044524	670	45	945	24	188	105	220	73	407	130	84	38	394	247	809	142	15	150	129	36
ENSG00000044574	27472	33746	77347	44909	19620	44068	35036	10542	41268	24781	60689	90862	28006	35681	31595	115063	43766	26630	23944	72309
ENSG00000046604	8921	19805	13682	1090	3122	12104	9533	1573	14122	7806	10308	19053	2488	17006	3225	67862	10631	2737	3561	567
ENSG00000046647	808	522	739	627	421	826	389	332	873	1161	931	607	406	1125	760	502	644	1054	522	845
ENSG00000046651	2887	940	2093	457	1888	2111	1696	1147	3080	2858	2304	2240	1559	5056	1508	1452	1783	1914	961	818
ENSG00000046653	250	139	171	44	240	554	470	69	911	113	119	414	271	226	139	314	177	117	94	103
ENSG00000046774	0	0	5	0	0	5516	3	0	2	0	1845	25	97	1	1	0	0	0	0	2
ENSG00000046889	270	66	332	58	235	55	85	57	125	128	134	37	168	236	494	103	9	179	68	19
ENSG00000047056	2550	1143	1490	745	660	761	729	229	1270	1422	1245	870	768	3379	967	1211	1154	1131	346	1017
ENSG00000047188	2280	997	1922	686	1979	697	1903	878	1735	827	1010	3428	836	4269	1837	1798	1065	915	668	887
ENSG00000047230	1900	1205	1872	484	646	1844	1098	748	2625	1594	1788	1264	911	2067	1136	1057	1148	1049	856	763
ENSG00000047249	3681	2397	3355	1463	2071	2642	3138	1628	2541	2275	2832	3281	1239	3160	4759	3666	3716	1910	3245	1994
ENSG00000047315	6233	3118	6051	1968	2889	4956	3267	2235	5221	3549	3851	10736	3105	8760	3961	6629	5126	4063	1791	3682
ENSG00000047346	3156	779	2377	234	864	454	1202	789	673	2780	785	1242	642	5645	1693	1242	2121	1919	793	439
ENSG00000047365	1659	1336	978	296	692	1491	1078	1299	2112	2034	1169	3112	777	3122	1873	3835	1702	543	703	27
ENSG00000047410	8004	14416	16031	2744	4364	4829	15935	3315	8504	4332	6576	8816	5110	18417	6928	15609	7993	4533	3237	4148
ENSG00000047457	9082	1	233	538	60	14	10	34	15	629	18	17	277	5746	330	204	1265	11	51	50
ENSG00000047578	1594	693	4344	590	1504	1042	1172	543	906	1877	1011	1122	1016	7481	1405	1276	1692	1874	570	1411
ENSG00000047579	1056	542	9037	826	883	1765	728	469	716	740	2277	800	996	1530	1132	1163	630	786	830	1030
ENSG00000047597	109	1113	831	6	171	140	157	7	78	127	271	347	134	1869	10	397	105	171	75	25
ENSG00000047617	37	9	44	13	45	6	8	31	36	24	10	21	33	22	56	11	31	20	18	28
ENSG00000047621	808	1105	1437	950	593	980	1183	304	1357	685	1197	1612	567	1898	702	1236	827	535	521	965
ENSG00000047634	98	493	184	495	183	673	151	134	562	123	713	757	352	1100	281	355	588	402	165	677
ENSG00000047644	1798	1991	1424	861	473	7272	3775	1281	2017	1415	4409	2186	1733	3663	2709	4648	4457	286	1261	1874
ENSG00000047648	792	18	297	53	362	40	96	27	69	79	44	25	90	327	262	52	10	333	93	31
ENSG00000047662	33	4	11	5	11	11	7	24	21	48	11	8	31	19	11	16	7	24	4	19
ENSG00000047849	11988	11443	17300	15168	6390	19909	25646	6357	14644	18777	17235	11774	13655	15792	21597	21425	14785	8440	6146	22734
ENSG00000047932	4096	2031	2159	931	1364	1516	3067	1160	3705	2208	2413	3387	1713	4252	1514	3638	3075	1169	854	1782
ENSG00000047936	97	3	1	1	4	5	60	1	847	0	14	77	3	7	8	51	4	0	8	2
ENSG00000048028	3103	717	1428	400	668	2167	1966	306	2115	1783	802	2185	932	2646	1227	1054	1207	553	385	1317
ENSG00000048052	211	15	225	39	114	69	79	35	100	18	860	3571	342	2271	250	1078	558	480	59	90
ENSG00000048140	4222	1197	3980	3752	1842	3603	4013	745	3601	2920	5591	4016	4047	5010	2950	4057	1928	2706	2550	8692
ENSG00000048162	1330	1241	2397	2509	2380	1704	1714	551	1424	1120	2286	2791	658	1200	932	1166	1575	1521	1769	3923
ENSG00000048342	346	180	928	309	305	232	624	121	569	666	528	177	384	1092	609	694	175	313	221	1569
ENSG00000048392	5920	1311	4425	939	3423	888	1040	1171	1861	1814	12811	1197	1714	1247	3547	1328	988	3682	1220	1242
ENSG00000048405	1254	708	1706	407	688	725	961	414	1020	1219	1489	1765	631	2154	836	1686	1059	1094	432	430
ENSG00000048462	42	7	34	2	32	8	31	7	37	43	4	0	8	62	115	100	2	1	91	1
ENSG00000048471	2507	779	2235	805	754	1248	1618	654	846	968	743	1610	922	4940	1988	1782	1249	996	506	820
ENSG00000048540	290	141	1753	132	115	24	26	49	23	691	24	49	72	97	147	61	159	311	294	14
ENSG00000048544	2013	2133	3295	1722	1355	3000	2625	2606	3280	1594	4162	4098	1021	3412	1740	4808	4726	860	1118	2947
ENSG00000048545	3	19	13	0	0	43	46	6	63	3	16	7	109	1	14	17	6	0	21	27
ENSG00000048649	3356	4140	2760	746	1570	1792	2289	857	2487	3693	1962	3459	1617	4458	2608	2844	1144	2975	945	1297
ENSG00000048707	7482	3040	5304	1266	4397	2408	2307	1405	3110	3844	2070	4862	2044	7339	3956	3430	4133	2722	1291	1840
ENSG00000048740	639	65	904	660	373	229	504	114	815	151	231	181	636	1398	944	774	81	174	345	48
ENSG00000048828	9417	8905	18621	6506	4378	15075	14879	3561	9584	2719	13012	22638	5817	15236	8402	15678	18024	9984	4953	5693
ENSG00000048991	1834	2348	2167	1084	948	2655	2716	595	1827	888	2328	1113	1198	1774	1732	1582	2171	1461	734	1723
ENSG00000049089	2156	240	1675	42	270	310	63	106	120	4166	323	836	355	3709	1055	350	248	202	466	1202
ENSG00000049130	2305	343	1090	580	415	132	391	180	1535	166	1361	618	2375	1662	2380	1094	5412	200	172	65
ENSG00000049167	290	201	652	195	83	252	515	84	232	303	275	394	201	352	381	390	220	197	210	491
ENSG00000049192	39	39	156	18	58	55	121	53	236	10	62	101	166	50	185	799	70	27	60	48
ENSG00000049239	16322	3986	6407	5327	2422	3594	3703	1608	3553	5054	3543	1817	6187	9274	7337	5615	3734	3878	2980	9432
ENSG00000049245	7014	6414	8743	4662	2530	8664	4036	2475	4869	5599	6036	9450	4876	9419	5193	10034	8766	4480	4184	8771
ENSG00000049246	2206	676	1167	327	101	2765	704	99	144	281	315	2099	918	3362	2420	988	518	701	107	165
ENSG00000049247	8	0	2	7	6	50	0	1	2	0	6	2	6	7	6	3	4	2	4	1
ENSG00000049249	50	30	78	97	59	461	124	10	342	10	88	100	229	341	103	219	54	11	37	571
ENSG00000049283	4823	1321	7026	3	4665	3115	2573	3686	2107	3469	3273	3172	1869	4545	4695	3503	3521	9182	2309	124
ENSG00000049323	3803	7418	9148	2859	1841	4606	6785	1736	10253	13025	4339	11993	5317	2812	12237	4630	4376	2809	3221	2287
ENSG00000049449	5724	3977	4712	8849	5772	11234	4900	6805	5185	26840	14926	6209	7271	18163	8342	11981	2827	6144	6849	8190
ENSG00000049540	3485	131	3559	29	905	245	344	1656	398	136	522	17	2694	569	13679	305	21	451	2224	2592
ENSG00000049541	1243	2645	2877	2709	1815	2472	2245	745	2380	1324	3222	2095	1220	3561	1192	3368	2519	903	1796	4210
ENSG00000049618	7738	2565	6139	1164	2447	3364	6029	1663	4027	3889	2856	4726	3422	11326	3900	4051	4938	2492	1512	1988
ENSG00000049656	7478	3307	10242	5375	3733	33198	14144	2550	16138	14469	17125	7264	5474	12807	6333	20957	11617	8245	4012	7722
ENSG00000049759	8035	1670	10928	1400	4747	5545	5507	1504	5391	9173	2697	5558	875	13140	2306	4217	4575	4237	2029	1818
ENSG00000049768	182	33	213	36	196	219	199	21	327	228	117	198	389	1064	324	333	71	81	170	61
ENSG00000049769	241	298	267	95	141	567	108	77	145	220	118	46	171	721	207	769	243	476	200	614
ENSG00000049860	8220	3857	4410	5848	1628	5275	6791	1956	3332	2629	11238	9170	3911	6286	10906	11116	2494	1649	3771	6164
ENSG00000049883	849	400	763	420	221	309	707	198	494	542	598	716	300	607	642	752	433	425	194	690
ENSG00000050030	14	40	18	0	19	630	2	3	2	1	2	1	2	13	27	3	0	13	9	1
ENSG00000050130	2250	2207	2082	1241	761	1867	2326	623	2488	1296	1542	3633	998	2316	1655	4024	2013	1342	1081	2009
ENSG00000050165	1753	604	1541	4049	1556	1304	2161	1047	4448	450	5742	1101	5224	783	8833	3889	2296	856	1001	10453
ENSG00000050327	1228	533	385	272	330	1500	1729	333	1499	1250	1824	2789	1025	1593	1187	2889	2143	179	800	288
ENSG00000050344	1289	4503	2612	847	982	2407	751	136	934	483	2384	2348	6302	4669	914	4040	706	3574	1731	2732
ENSG00000050393	1838	3261	6055	1156	2655	4084	1813	1010	2333	1368	5553	1510	1398	3710	1566	3332	2160	1336	704	2292
ENSG00000050405	11744	7085	3247	2272	3643	4666	2899	3941	15663	7904	9274	25282	3667	13676	11051	3473	14897	3970	3921	5840
ENSG00000050426	4044	2213	2972	1311	4386	1078	1032	1760	2268	5228	3395	1851	1756	3165	2279	1954	2255	4264	1475	1600
ENSG00000050438	136	16	151	98	415	116	40	38	56	9	16	48	28	217	60	84	48	133	19	415
ENSG00000050555	349	244	487	302	912	261	197	76	603	149	1854	243	598	354	857	376	35	299	373	4640
ENSG00000050628	18	72	514	5	23	54	60	221	152	14	30	3	439	13	509	118	51	51	139	23
ENSG00000050730	5	4	5	23	7	9	25	2	114	5	33	453	32	47	17	52	85	2	7	7
ENSG00000050748	2297	1375	3310	1133	1948	4476	3811	964	2928	1099	2569	2151	1559	4212	1829	2894	1605	1368	1022	1929
ENSG00000050767	55	30	41	88	36	39	53	11	132	28	63	240	53	47	67	78	16	11	66	5325
ENSG00000050820	3557	2038	4413	3383	2548	3485	3155	1138	5767	4211	7050	11383	7752	4271	5506	25715	6541	4002	4408	8150
ENSG00000051009	2257	672	2166	1181	1071	2125	2413	753	2529	1344	1587	1950	1834	4599	1532	1810	2034	1542	967	1970
ENSG00000051108	7358	1597	3269	2774	2532	2756	2359	2895	2525	3106	4536	3246	2881	3345	9029	4409	2706	2317	3150	5528
ENSG00000051128	1135	1341	2682	2383	876	8724	1794	969	2917	1690	3997	6023	3069	1070	3376	7949	5906	1548	4210	6860
ENSG00000051180	360	798	982	884	263	1151	1291	268	1321	603	1749	1237	428	1281	190	887	1695	363	654	980
ENSG00000051341	223	1340	1782	270	814	999	825	285	577	329	1059	1537	462	1230	144	823	647	743	432	198
ENSG00000051382	2700	2436	3100	645	1076	2733	2425	1162	1411	1640	1037	2891	1368	2125	1905	1506	697	1853	971	619
ENSG00000051523	7443	2096	6080	22490	1829	5960	6481	1523	7049	6295	8934	5227	3818	5071	6168	9241	5987	2708	8567	14218
ENSG00000051596	817	361	1453	386	636	1558	892	190	831	642	635	1493	345	1308	1119	1043	493	372	499	806
ENSG00000051620	6053	1958	8438	2165	11004	7623	3426	4051	4330	5318	13785	8660	3282	9644	2632	4930	7133	14889	4917	2435
ENSG00000051825	690	684	760	321	349	671	394	195	1079	204	606	664	365	1309	489	1011	669	377	171	559
ENSG00000052126	2543	3132	4407	265	939	897	3321	907	1760	4285	2085	2856	1508	4593	1795	3919	3193	2075	646	528
ENSG00000052344	1841	2430	3038	9	312	11180	4739	1848	4361	3958	9725	14377	9419	12435	2632	12219	9149	732	3497	172
ENSG00000052723	2433	2369	6223	790	1607	2001	2488	675	2328	2606	2174	2395	2190	4232	1866	2403	3206	3604	810	1002
ENSG00000052749	1656	2148	6183	3127	1604	3067	4171	781	3266	2103	5992	4741	1039	2829	2327	4863	4007	1870	2822	6949
ENSG00000052795	2721	343	1583	483	464	1170	857	549	1061	454	1062	2564	879	4029	2942	1683	845	730	705	448
ENSG00000052802	3632	8337	4663	6121	1250	8141	2886	1661	1786	1585	2817	5814	1189	5400	3209	3250	6197	2697	2030	1069
ENSG00000052841	4479	2071	2477	1437	2147	7053	3857	1623	3814	4685	3618	4060	2284	9690	3619	3197	3524	2304	1131	1654
ENSG00000052850	3	0	4	72	1	506	4	0	7	3	3	0	48	8	0	0	2	3	4	3
ENSG00000053108	1693	1442	591	5	384	256	2	353	2	155	222	136	55	257	872	8	433	285	603	38
ENSG00000053254	5239	3128	5806	620	1678	1664	2970	1576	1227	2679	972	879	2969	5878	4981	2110	2948	3843	1230	668
ENSG00000053328	19	2	47	0	11	3	14	22	12	0	2	3	21	10	79	12	1	15	9	0
ENSG00000053371	3401	1483	4206	3318	2394	2921	1077	1335	1244	3016	2519	1311	1856	2740	2652	4374	2339	1156	2235	3987
ENSG00000053372	3069	3115	9870	5299	7940	4129	2408	1594	3686	3922	6543	5077	2138	3798	2086	6198	5445	2915	3900	7886
ENSG00000053438	199	16	90	1	18	20	39	77	216	150	15	106	41	478	165	71	39	57	39	5
ENSG00000053501	1400	841	2340	957	788	1329	1250	507	665	1192	1009	808	585	1449	1191	760	1049	753	1354	1751
ENSG00000053524	38	61	77	36	63	192	274	5	99	28	140	255	28	120	68	221	34	26	24	7
ENSG00000053702	565	83	288	36	160	59	126	101	147	249	113	28	159	233	248	130	35	134	137	115
ENSG00000053747	4285	336	990	129	587	5103	696	45	25274	911	16419	37348	3046	2335	2187	227419	33552	581	499	130
ENSG00000053770	2416	1612	3221	807	1864	1544	1821	807	1876	1225	891	1988	972	3736	1688	2870	2183	3165	658	924
ENSG00000053900	2833	511	2274	942	798	1200	926	600	1788	2539	1275	1618	924	2471	2810	1905	768	1084	762	1782
ENSG00000053918	7206	104	1970	1035	585	140	338	346	175	2506	138	117	479	2985	5704	139	149	582	278	586
ENSG00000054116	3023	2210	6869	3179	2565	4090	3843	1294	2983	3997	3810	4319	3349	4742	3440	4538	3974	3782	3083	4939
ENSG00000054118	10342	7836	17597	4006	4285	7204	11613	3091	7754	7572	7953	12748	5522	13115	7572	11188	9328	6813	4026	8918
ENSG00000054148	1186	1213	4320	6364	3741	4436	2064	1435	1747	2052	7278	2817	1685	2519	1895	3324	2458	881	3660	9246
ENSG00000054179	194	310	111	1	333	112	429	119	332	184	1275	1679	81	648	20	141	136	93	227	47
ENSG00000054219	3625	2234	953	492	436	676	752	263	411	1014	1051	861	1001	1713	1061	569	254	961	270	38
ENSG00000054267	4052	1907	3240	531	1711	2495	3659	1024	1681	1475	1736	2456	1933	3601	3462	1675	1789	2341	889	1117
ENSG00000054277	155	658	914	96	46	2984	2374	49	444	414	615	271	182	860	629	3126	847	350	136	172
ENSG00000054282	1434	722	1824	527	670	2235	1233	500	678	714	561	1477	563	1390	2130	1731	1130	577	534	1508
ENSG00000054356	9	18	22	78	5	102	156	38	5482	5	111	4	154	2	89	36	11	8	401	115
ENSG00000054392	2065	125	432	24	232	231	210	346	194	213	215	242	330	289	655	69	127	268	218	274
ENSG00000054523	2580	3755	4780	1841	1357	2355	2465	1205	4828	2990	2717	5542	2055	5504	2147	3969	5677	2708	1305	2830
ENSG00000054598	851	2659	330	235	1098	629	1882	1565	2235	1142	4576	2139	1182	2656	836	1149	3216	819	695	113
ENSG00000054611	2204	1423	1634	2401	784	2348	1337	924	1724	1811	1590	2791	1076	1457	1552	2097	3694	919	1545	4528
ENSG00000054654	6182	4772	7338	482	2960	3594	10430	1787	4228	3757	2221	15556	2739	14102	8829	14434	10197	5965	1093	1012
ENSG00000054690	2773	615	1844	86	1510	462	793	871	1440	2413	478	1121	293	576	609	663	711	2292	549	349
ENSG00000054793	16153	4811	7793	787	2756	5264	4275	1523	4360	3339	2231	2828	4329	6624	6269	252	6251	4796	1762	1044
ENSG00000054796	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
