TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000004399	3335	2214	4473	15320	1713	8256	5353	1334	5851	1233	4427	1037	6159	2301	5193	8607	885	1342	2767	5192
ENSG00000004455	8106	5665	12441	6632	4461	7628	7650	2690	4668	8713	6765	9319	4539	10331	4922	8917	7143	3925	4714	7234
ENSG00000004468	86	16	197	358	114	45	391	19	448	56	58	141	151	554	320	734	308	19	256	14
ENSG00000004478	15045	22195	34777	5382	8510	11429	9050	6108	13802	13185	13709	10543	4974	14395	4368	11089	18519	17719	8987	10147
ENSG00000004487	7206	11969	31159	3812	9653	7981	4183	3632	5068	7383	6076	8715	8206	9545	6059	35664	14784	6182	8714	13839
ENSG00000004534	5374	2375	5337	4294	3292	3531	3050	2429	4730	8119	6609	2046	7913	8164	4472	4300	2687	6122	2224	5610
ENSG00000004660	871	418	741	378	429	354	830	102	668	685	672	138	556	549	519	551	1185	829	423	700
ENSG00000004700	952	2265	1464	566	841	1100	1645	705	2312	505	1860	1597	1040	2263	876	2102	1499	1571	225	783
ENSG00000004766	1273	1016	1523	422	556	1535	1367	467	1200	875	1531	1518	866	2307	1324	1423	1750	806	531	557
ENSG00000004776	1148	44	5021	94	488	107	74	156	156	19	70	24	255	48	1396	170	20	40	1548	792
ENSG00000004777	136	393	912	307	343	865	741	355	156	155	448	234	220	2021	429	682	138	253	323	1036
ENSG00000004779	2799	1960	6631	2197	2838	3129	2366	1537	1974	2418	3704	4180	1919	7471	1796	2307	2643	1621	3200	4659
ENSG00000004799	2470	276	1135	145	2930	223	142	363	155	381	156	23	723	1060	3273	338	30	364	475	27
ENSG00000004809	9	6	4	28	1	7	12	1	2	0	5	3	0	5	6	6	4	0	2	16
ENSG00000004838	29	24	74	45	71	20	22	48	26	48	38	7	23	103	53	247	18	17	7	721
ENSG00000004846	8	0	4	0	2	3	0	2	3	3	0	1	3	0	6	0	1	0	3	1
ENSG00000004848	4	0	0	0	4	1	1	4	2	144	7	0	3	2	3	0	2	9	44	2
ENSG00000004864	1859	1977	2872	1067	698	2184	2525	851	3283	1536	3099	3203	1232	1933	2352	2498	2150	1461	1047	1267
ENSG00000004866	1521	1062	2092	776	862	1573	1828	484	1277	981	1982	1860	745	2484	1626	5723	1237	475	896	760
