TCGA.L9.A7SV	TCGA.69.7973	TCGA.55.8505	TCGA.55.8508	TCGA.91.7771	TCGA.97.8176	TCGA.64.5815	TCGA.86.A4P8	TCGA.64.5779	TCGA.50.8459	TCGA.73.4675	TCGA.73.7498	TCGA.55.8205	TCGA.55.7283	TCGA.55.A48Y	TCGA.55.A48X	TCGA.55.7576
ENSG00000004766	1369	1908	1033	519	666	769	619	1266	546	662	2142	1806	2795	1518	944	1155	2632
ENSG00000004776	47	1310	162	121	281	252	172	1172	182	350	506	909	200	404	147	710	537
ENSG00000004777	1507	1182	203	215	178	219	90	1091	692	458	1157	1049	685	65	37	1313	443
ENSG00000004779	2099	3691	1819	1284	1383	2285	1280	1294	1058	1145	4354	3214	2349	2016	2694	1388	2182
ENSG00000004799	1154	4502	216	916	9818	609	578	15525	2820	3310	1921	7555	1197	1645	682	1286	3649
ENSG00000004809	10	5	3	1	9	9	2	7	2	23	15	22	5	18	1	3	74
ENSG00000004838	198	78	60	83	116	444	28	464	15	998	1206	142	161	954	31	1192	181
ENSG00000004846	0	4	4	1	1	8	2	17	0	10	7	7	6	3	2	3	27
ENSG00000004848	1168	233	36	14	6	58	12	26	15	24	36	13	5	2845	19	96	1127
ENSG00000004864	4709	2936	2595	1031	1479	1894	642	1020	841	898	4283	1278	3933	2135	1981	1830	2317
ENSG00000004866	1523	3075	1111	809	1468	1097	737	2513	734	1249	8407	3374	2713	2425	1270	1337	3162
ENSG00000004897	4133	5365	2917	959	2288	2351	1456	2615	1820	2518	4312	3443	5647	3388	3085	2256	4867
ENSG00000004939	7	6	1	8	6	1	2	9	1	0	2	4	3	1	0	8	3
ENSG00000004948	18	12	121	5	11	8	24	32	106	8	3	13	15	105	4	19	121
ENSG00000004961	761	1638	1434	530	667	999	523	773	611	791	1844	1314	1745	803	2101	831	1893
ENSG00000004975	4223	4658	2265	1389	828	1265	746	1799	1063	1317	3668	3741	2159	1523	606	1408	3340
ENSG00000005001	1142	878	6050	446	310	1742	1080	604	52	996	3649	1633	1722	776	892	2187	3895
ENSG00000005007	7709	23362	4140	3505	6207	6344	4006	7656	4157	4913	28001	11134	9882	6343	8254	6413	15544
ENSG00000005020	1868	3188	1777	1155	2757	2393	2155	3268	3417	2119	3580	3554	8116	4864	2213	2495	9743
ENSG00000005022	17915	28853	11487	6855	19942	12629	9777	10219	7524	7116	28843	16797	26516	13014	10345	7624	17586
ENSG00000005059	951	637	312	199	631	395	893	826	429	959	1424	520	2008	770	413	880	1735
ENSG00000005073	0	0	181	0	1	68	3	1	7	2	8	2	1	2	6	0	198
ENSG00000005075	2867	2067	1351	915	717	1752	900	1046	886	1211	4177	2604	2975	1654	961	1183	2289
ENSG00000005100	2932	4158	1430	923	826	1199	428	999	1190	886	1416	1951	1962	1402	700	1018	1852
ENSG00000005102	43	19	5	15	54	31	22	26	17	44	45	145	52	27	21	114	53
ENSG00000005108	1936	674	665	81	154	261	76	596	145	179	120	335	525	307	214	246	426
ENSG00000005156	4635	6216	1070	1116	1292	1232	629	1032	1239	781	2775	2212	2081	1637	1672	1842	1230
ENSG00000005175	2165	3666	669	759	1501	808	493	1009	1733	997	1380	1670	2112	1290	1383	1135	3176
ENSG00000005187	1075	897	419	130	1721	785	284	521	797	259	1253	1568	474	983	1442	717	720
ENSG00000005189	582	691	127	64	91	426	124	103	221	133	320	249	680	148	108	237	275
ENSG00000005194	2270	3984	1748	1345	1223	1685	994	1505	1705	1499	2283	3388	2303	2274	3117	1615	5052
ENSG00000005206	3531	5618	1779	2835	1371	1662	990	3596	2326	2326	2562	3898	2183	1620	785	3608	2937
ENSG00000005238	875	1879	1268	987	685	961	1884	1473	852	2170	2415	2250	1691	789	867	1187	1503
ENSG00000005243	112	863	522	203	204	185	772	327	282	1157	880	400	432	382	846	245	444
ENSG00000005249	822	4077	88	811	451	218	306	820	226	618	1284	1617	891	2106	295	734	2195
ENSG00000005302	1018	1793	819	922	1039	908	717	2344	1518	1386	1499	2748	2867	971	1645	1741	2165
ENSG00000005339	6766	13746	3285	3279	5175	3492	3087	7472	4276	4447	7530	12431	7638	5346	4333	7365	11852
ENSG00000005379	813	1613	211	939	587	218	122	3194	909	866	256	3456	595	623	154	1523	320
ENSG00000005381	3	129	13	6	19	43	11	41	51	39	19	36	60	33	9	27	26
ENSG00000005421	830	46	457	66	31	15	91	51	7	10	5	93	22	365	2	123	134
ENSG00000005436	1428	2342	796	440	724	680	252	946	548	503	1877	1322	1143	1652	1062	894	2846
ENSG00000005448	445	1876	284	563	300	266	291	546	459	1016	735	612	848	536	180	849	1057
ENSG00000005469	624	595	577	246	414	483	376	798	177	600	1998	927	1978	1071	524	622	1884
ENSG00000005471	22	390	29	48	58	53	36	25	92	165	44	199	60	68	13	118	112
ENSG00000005483	6678	7494	3689	2263	4362	2025	1839	5616	2910	4227	8078	8469	8277	6628	2374	4365	10064
ENSG00000005486	5579	6092	5849	3387	3019	4008	2891	5323	2278	7130	17307	12040	7753	6395	3144	5453	13589
ENSG00000005513	31	14	11	6	70	9	13	54	15	83	75	52	38	3	20	140	30
ENSG00000005700	3892	6668	5653	1172	4369	2115	1843	2776	1932	2219	3804	4358	6184	2525	2788	2446	5786
ENSG00000005801	2776	3034	906	836	1275	1114	317	1051	1257	574	914	1617	2073	1099	1145	1033	1271
ENSG00000005810	1669	7053	2016	1647	4395	1438	1293	4716	2592	2585	2425	5356	7075	3472	2501	4099	4098
ENSG00000005812	1116	4063	1313	1013	2667	981	1432	3404	1771	2242	2492	3982	4075	3207	1711	2366	2783
ENSG00000005844	973	1303	316	892	2895	716	1170	7005	1339	2848	1330	3046	6979	1276	699	3177	2974
ENSG00000005882	1609	1059	656	399	948	365	524	1491	617	694	1467	2924	706	1009	648	1466	2905
ENSG00000005884	46459	19387	15407	8682	9341	14354	38118	21404	6859	30737	67336	73418	52263	28776	32240	47908	85557
ENSG00000005889	1413	4630	1042	878	1400	760	612	2789	1358	849	1591	3514	4352	1840	1183	1757	2219
ENSG00000005893	9532	11399	6584	4098	10629	6019	12520	9615	4933	8126	15338	11087	13484	6106	8601	6525	19017
ENSG00000005961	2074	49	11	13	37	12	18	102	174	23	308	34	26	34	3	47	120
ENSG00000005981	70	43	22	3	58	11	32	73	12	19	9	152	25	14	2	53	26
