TCGA.CD.8531	TCGA.CD.5804	TCGA.FP.7998	TCGA.CD.A4MH	TCGA.CD.8528	TCGA.CD.8530	TCGA.CD.A486	TCGA.CD.8526	TCGA.CD.8535	TCGA.BR.6709	TCGA.CD.A487	TCGA.CD.8525	TCGA.CD.8529	TCGA.B7.A5TN	TCGA.IN.A6RO	TCGA.CG.4305
ENSG00000099849	621	4821	1617	10447	2839	2524	6509	4568	3189	441	3263	1328	3868	7199	3321	1948
ENSG00000099860	943	1821	2662	2351	651	2905	4317	1362	3930	2309	2174	749	2825	3515	528	1484
ENSG00000099864	295	1292	1438	2751	236	3237	2069	2322	327	1932	752	743	1839	1183	142	864
ENSG00000099866	244	11	80	132	24	779	132	119	46	21	36	354	1127	14	28	44
ENSG00000099869	1	2	3	60	5	4	10	3	264	0	11	0	7	117	3	1
ENSG00000099875	105410	6604	12734	7953	9581	7700	9083	19114	13108	9080	6477	3861	10989	14697	10363	6076
ENSG00000099889	109	979	935	1639	397	955	1685	1591	1694	110	1974	506	1510	698	627	547
ENSG00000099899	2263	1794	1447	1559	3016	1049	2503	2107	1659	898	1639	1064	1833	1706	2315	1073
ENSG00000099901	11721	4458	6319	7042	17402	5319	6649	9579	10238	2944	15016	6660	6404	5606	21816	4894
ENSG00000099904	3735	3027	4093	4622	9760	3500	6078	5362	4432	3047	4207	1871	5203	5053	1798	2603
ENSG00000099910	1473	1005	1623	1021	1137	1338	1278	1092	1294	772	601	680	1846	1054	676	795
ENSG00000099917	5921	6774	12201	7126	12432	6895	7483	10077	8299	5302	9213	4864	9012	9140	12077	6889
ENSG00000099937	21	71	38	25	47	38	55	35	122	8	18	15	586	28	44	15
ENSG00000099940	3885	2724	4424	1917	3366	3306	3062	1766	4600	1679	3434	2329	4036	3127	5178	2944
ENSG00000099942	8043	2898	8907	4912	12336	5151	5492	6277	10854	2982	5883	2297	7568	6307	10291	4860
ENSG00000099949	2902	2164	3735	3004	4134	2955	3954	4856	3002	1871	3553	1343	3778	3403	1795	2764
ENSG00000099953	5728	7897	3732	12753	33104	665	37624	2516	1633	1345	10632	1423	13686	115160	961	12570
ENSG00000099954	18	16	26	18	52	47	1288	2503	58	32	60	40	37	8	83	68
ENSG00000099956	10043	3523	3886	4838	4124	2988	5969	6339	5764	2713	2931	3987	5190	5726	6414	2940
ENSG00000099957	6	7	9	20	3	20	9	8	263	161	9	26	22	3	10	4
ENSG00000099958	1477	1317	8256	2224	1111	319	3460	2750	108	4080	112	1105	7858	1438	554	725
ENSG00000099960	2	51	16	777	22	76	46	198	29	15	174	133	755	124	4	10
ENSG00000099968	3653	2340	3786	2595	5779	2709	3846	3841	6369	2399	3311	1869	5065	3799	3807	3016
ENSG00000099974	56	66	131	331	271	210	207	96	96	83	47	35	172	106	119	133
ENSG00000099977	1354	596	553	1673	2181	1109	2019	1085	1111	272	710	775	1236	1375	1942	1029
ENSG00000099984	2	0	4	86	0	32	6	1	1	11	0	2	12	1	0	8
ENSG00000099985	135	448	92	95	143	144	522	188	31	85	85	42	791	263	28	65
ENSG00000099991	6128	5968	19441	7332	9156	6011	15096	7132	8300	7004	3692	3969	14504	9456	9917	6545
ENSG00000099992	524	698	960	635	678	784	994	709	693	869	390	716	1775	969	1122	862
ENSG00000099994	1479	1218	1617	896	116	892	2670	732	850	6615	545	1741	1754	1393	155	555
ENSG00000099995	13669	4020	11927	4487	12910	6946	7723	12016	11107	6379	4036	5841	12082	9133	9852	8927
ENSG00000099998	1816	2956	5560	2193	1773	6532	3210	3930	2024	26025	1495	2188	4095	6080	509	2580
ENSG00000099999	470	697	507	514	216	548	1027	1000	1034	370	283	707	865	971	734	360
ENSG00000100003	673	787	1274	614	165	1069	928	680	1136	1338	290	1454	1937	821	697	1615
ENSG00000100012	5	1	1	1	0	8	2	6	7	3	4	5	7	2	0	11
ENSG00000100014	3487	1148	2047	1235	1672	1739	2186	2159	2813	1652	889	851	2112	1717	1658	1332
ENSG00000100023	3973	2868	4783	4862	4608	2877	4853	5497	6121	1450	2086	2372	5411	2975	3723	3521
ENSG00000100024	124	272	31	52	10	37	18	80	12	21	5	20	27	7	14	24
ENSG00000100027	211	70	358	148	29	149	102	239	637	70	56	52	208	103	39	94
ENSG00000100028	6409	4199	4039	7001	7246	4440	6839	5177	6686	2026	4830	5684	4882	6291	7613	4978
ENSG00000100029	4788	3104	4599	2473	9889	3476	4022	5928	6381	2546	3195	3275	5267	3488	7459	3022
ENSG00000100030	10773	5206	14242	8790	20218	9212	8416	8859	16441	4256	5333	3263	13125	9761	20913	12647
ENSG00000100031	1957	2990	637	4023	695	2150	5432	1314	245	312	483	2485	4144	4906	3785	197
ENSG00000100033	8	118	147	833	38	57	100	7179	170	92	281	413	8643	27	13	47
ENSG00000100034	2614	1735	3441	1346	2016	2717	2240	2474	2319	1599	1223	895	4043	1926	1124	1333
ENSG00000100036	573	572	591	198	3180	753	677	575	1811	551	666	362	1993	922	1103	219
ENSG00000100038	101	20	76	80	59	62	67	80	107	22	21	34	59	26	107	55
ENSG00000100053	0	6	15	25	27	21	7	27	15	7	24	18	26	18	77	18
ENSG00000100055	6007	1004	3069	462	636	631	936	887	497	2106	383	628	2112	438	515	1143
ENSG00000100056	1818	1527	1305	1374	1177	803	1433	1334	1891	721	1584	1333	1311	1242	737	730
ENSG00000100058	571	572	609	1155	383	633	1972	662	1333	231	421	570	619	813	556	554
ENSG00000100060	4823	711	1761	407	275	1085	501	4428	354	833	197	2497	1933	669	325	573
ENSG00000100065	280	2917	5819	4326	4330	2391	4266	2577	4233	752	956	1148	4482	3413	6206	1715
ENSG00000100068	80	170	371	753	184	283	1094	400	939	85	208	156	301	355	343	326
ENSG00000100075	5367	11809	3755	12395	8618	3600	6823	6731	7244	2167	15930	5369	9076	8635	4592	4348
ENSG00000100077	1873	654	2791	2410	404	736	2251	1622	253	1190	465	765	2380	922	1176	1133
ENSG00000100078	1	2	26	1	90	31	0	233	0	1	0	3	53	70	182	60
ENSG00000100079	105	11911	1237	5914	424	1431	8430	405	45	42	174	3188	558	1450	767	288
ENSG00000100083	6261	3095	4308	4832	4354	3076	7853	4900	5697	1723	1942	1783	4314	3650	4521	3364
ENSG00000100084	936	1062	1561	2330	2253	974	1481	1636	1803	443	2276	1369	1367	1411	1033	1350
ENSG00000100092	10632	6344	6258	10079	3651	1166	6703	2715	3241	1538	681	1796	3397	3932	14639	1812
ENSG00000100095	9	37	24	10	2	24	22	37	13	11	17	11	119	3	3	25
ENSG00000100097	67982	18967	9204	9165	6600	25978	22114	8174	16382	14419	12816	17830	15874	33641	10737	7062
ENSG00000100099	1839	1190	3256	2709	3086	1704	2781	2328	4153	1102	1213	1095	2725	2132	3126	3065
ENSG00000100100	2217	967	6754	910	1034	1809	1582	1388	774	2099	619	398	3957	4511	1417	2262
ENSG00000100101	0	0	2	1	0	1	2	1	1	0	0	1	1	0	1	3
ENSG00000100104	1365	608	1210	868	1784	1043	1132	1232	1469	523	735	647	1387	979	976	1109
ENSG00000100105	3377	1767	4550	3062	6324	2276	4129	6401	4756	1917	2043	2247	3648	2588	2139	1618
ENSG00000100106	2409	2372	1834	3126	1633	3213	2671	2125	3177	1107	1871	1547	3042	3481	3253	1181
ENSG00000100109	2880	1318	2924	1124	2597	1405	1753	2397	2793	1170	819	1108	2649	1338	1794	1766
ENSG00000100116	930	382	266	793	1790	523	846	451	498	143	371	770	793	624	1224	764
ENSG00000100121	2	2	1	6	2	9	22	7	0	0	0	6	6	22	4	0
ENSG00000100122	51	70	41	25	25	27	40	19	28	65	11	12	79	40	5	31
ENSG00000100124	1465	1735	1358	1584	2380	1248	2353	1396	2018	755	750	1238	2163	1469	1940	902
ENSG00000100129	14528	4320	6745	4735	24125	6946	4663	6826	9331	5603	2851	2259	9381	6671	11469	16004
ENSG00000100138	8111	4101	3614	7502	9015	5637	7842	8234	6451	2653	4525	10075	4638	8538	9572	6154
ENSG00000100139	4870	3261	5682	2059	3588	3752	4796	3374	4748	3905	1996	1856	6974	1814	2672	2091
ENSG00000100142	4	4	12	5	2	9	6	15	88	7	13	10	14	5	6	10
ENSG00000100146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100147	264	118	835	225	1009	251	351	557	827	146	125	195	465	299	610	248
ENSG00000100150	1997	694	1874	1438	1562	1057	1500	1258	1862	537	633	701	2194	928	1715	1050
ENSG00000100151	937	1733	1142	2098	1683	975	2755	1960	2111	558	944	1093	1958	1160	1386	1627
ENSG00000100154	1358	1103	3328	1487	760	4976	1948	1923	1322	2381	1492	1466	3621	2310	235	985
ENSG00000100156	32	25	124	149	8	101	167	207	211	22	35	16	617	148	165	21
ENSG00000100162	2867	916	723	1431	1031	358	918	1061	1426	302	703	714	802	598	2798	850
ENSG00000100167	58	160	127	676	140	606	1762	1939	5250	482	82	301	353	98	70	62
ENSG00000100170	5	3678	6150	6760	1954	1128	160	537	3384	1	299	661	7821	3774	13857	685
ENSG00000100181	73	227	70	121	105	493	1731	236	35	130	260	177	232	329	30	136
ENSG00000100191	23	52	39	70	6	92	33	75	38	16	9	32	84	30	17	33
ENSG00000100196	735	5578	1401	4631	8304	5754	4719	2144	2179	2032	3668	5568	8261	5026	5213	6701
ENSG00000100197	55	719	105	327	61	88	1149	326	103	14	129	205	540	312	84	94
ENSG00000100201	39782	13262	38887	42031	50431	28351	61102	25361	58553	16990	16453	10474	39912	33466	41748	32485
ENSG00000100206	299	63	90	72	102	44	117	116	126	69	24	60	91	22	143	24
ENSG00000100207	4604	2502	12971	5297	11070	3860	5076	7681	10920	2977	2720	4129	7353	5716	8833	3706
ENSG00000100209	818	409	466	862	597	480	667	463	655	239	410	560	604	575	1085	283
ENSG00000100211	170	1030	592	956	945	856	1771	985	2223	321	696	928	960	1345	1281	740
ENSG00000100216	3896	2815	1649	4111	6982	2420	6155	4084	3747	1546	2375	2285	3059	2993	6133	3465
ENSG00000100218	38	53	16	34	21	12	100	46	107	1	2	32	82	43	667	14
ENSG00000100219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100220	3852	3129	5812	2912	6372	2828	3492	4479	6410	2131	2168	1843	4791	3132	6962	4760
ENSG00000100221	7823	3488	5726	4524	11102	4344	5111	3802	7142	2674	2332	2223	6746	5439	9836	5612
ENSG00000100225	6494	3688	9380	6025	5282	4501	5594	6463	8683	3274	2767	2242	6670	6055	7547	5451
ENSG00000100226	7443	3851	10303	5373	7952	3610	7657	3142	6777	3234	1868	2625	8291	4394	8510	4148
ENSG00000100227	7306	2621	5981	3818	7182	4091	5454	5676	9943	3116	2540	3439	7997	4400	7589	3625
ENSG00000100228	155	614	311	169	576	481	495	1073	3206	567	528	602	2304	1113	1319	161
ENSG00000100234	2870	552	2209	388	3088	4309	990	935	397	4195	595	172	3719	3585	259	1303
ENSG00000100239	4878	3634	5471	5153	4102	2713	5229	3177	5024	1628	1852	2707	4941	4248	5204	3051
ENSG00000100241	43568	6895	16434	16112	20587	6953	13839	8471	18236	4764	4248	6507	14346	7144	10983	7016
ENSG00000100242	10145	6536	17517	5266	7093	6803	14632	8198	7826	6564	3215	1885	12743	6058	7793	4061
ENSG00000100243	20071	20105	21753	18548	16369	25995	16622	20670	22546	12754	10122	14642	24656	28320	22114	14994
ENSG00000100246	143	978	630	408	536	524	845	807	1549	443	399	296	763	1107	1290	429
ENSG00000100249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100253	481	8	6	10	55	17	69	97	30	5	2	89	222	159	41	3
ENSG00000100258	6348	6221	7563	5338	8103	4133	5257	5129	4323	4967	2645	4305	7411	7291	12988	3681
ENSG00000100263	794	1120	1442	1529	1864	1117	2085	1810	2464	426	758	1073	2131	1881	1955	663
ENSG00000100266	4387	5498	7327	4295	8412	4011	6388	4433	7762	2742	2528	3943	10379	5841	11437	4907
ENSG00000100271	231	277	534	230	89	221	208	256	727	284	76	191	349	363	264	233
ENSG00000100276	48	51	25	100	14	78	96	53	50	16	13	22	72	71	48	25
ENSG00000100280	14847	11095	16855	8734	18621	6856	11734	10584	9708	9565	3136	4955	18771	8384	17203	8620
ENSG00000100281	2018	1302	2676	3809	2995	2745	3795	2843	4690	998	2439	2976	3420	2259	2520	2263
ENSG00000100284	2031	4874	3065	2884	1585	2330	5292	1809	3308	2831	1686	2427	4668	3758	892	2005
ENSG00000100285	28	118	82	23	33	89	1829	241	53	63	48	68	159	47	17	102
ENSG00000100288	230	208	152	671	84	166	681	331	116	57	155	340	181	273	230	249
ENSG00000100290	15660	1550	832	953	1279	300	2314	629	1506	40	1420	2560	1086	3810	4091	1224
ENSG00000100292	2611	3378	4639	2075	2640	1848	3938	1756	1806	2627	624	1302	4749	1969	1322	2373
ENSG00000100294	940	1754	1025	874	2121	968	1274	1348	1596	495	833	1718	1013	1281	2074	1114
ENSG00000100296	2188	1093	2540	1751	3631	2208	2028	4897	3556	861	1252	1414	2328	1970	1715	2157
ENSG00000100297	15757	4497	9816	5106	12940	2333	3994	11488	6745	3833	3133	3283	5816	3686	10616	3769
ENSG00000100298	190	45	259	45	12	58	27	73	7	164	16	72	161	25	25	144
ENSG00000100299	3532	2688	3665	4673	3876	2055	4053	2618	1400	2412	1261	2585	4734	4963	7238	1992
ENSG00000100300	15424	7859	5631	4460	13438	4269	5114	3134	7149	3475	5151	5090	7701	14810	23051	6875
ENSG00000100302	112	507	1069	620	106	840	514	644	1370	261	294	218	889	505	172	154
ENSG00000100304	5564	3939	6181	2372	24715	4280	5324	8505	5144	2387	3987	2920	10293	8529	10208	7381
ENSG00000100307	1078	1752	3892	1410	400	2431	1926	1511	1193	834	1335	618	2600	1265	1644	1412
ENSG00000100311	631	2190	1788	837	523	3883	3105	2528	2611	1226	642	1485	2496	1732	916	725
ENSG00000100312	316	6	9	15	2	16	20	19	3	9	5	12	10	25	14	10
ENSG00000100314	13	29	16	25	15	8	44	14	30	23	21	6	20	15	13	12
ENSG00000100316	106253	56974	69258	68938	143423	85132	78642	60496	79287	61237	42342	46696	74065	87732	80127	81294
ENSG00000100319	693	811	549	647	476	538	708	587	1151	366	320	419	492	542	595	393
ENSG00000100320	3439	3523	9347	4987	5713	7476	4589	5398	5656	4304	3562	2667	6796	6830	6986	6762
ENSG00000100321	10316	376	488	213	54	1147	2208	553	1359	359	246	384	2904	530	28	142
ENSG00000100324	1807	1818	2532	1931	2435	1356	2495	1836	3010	1132	970	950	2824	1758	2693	1402
ENSG00000100325	4923	3940	4285	3984	4793	2898	4653	4788	5182	2309	1933	3087	6457	4572	6112	3669
ENSG00000100330	436	215	774	497	378	484	450	365	638	264	189	271	673	389	293	443
ENSG00000100335	4043	1770	4408	2838	7978	2727	3067	3868	6249	1774	1714	1746	4575	2556	5467	3542
ENSG00000100336	217	819	2031	560	2905	1726	2879	643	109	879	79	1188	1045	1079	1	680
ENSG00000100341	0	0	2	0	0	2	11	91	3	1	0	3	0	0	2	2
ENSG00000100342	1221	21205	32434	23661	8642	8053	54652	7021	4289	6767	28140	9777	14270	9238	3762	5301
ENSG00000100344	7	101	19	14	21	43	231	452	416	181	42	193	42	104	387	21
ENSG00000100345	197548	78330	172915	80266	127959	102646	71775	110287	84269	70468	38273	45004	135278	120120	103723	49715
ENSG00000100346	1	333	59	191	78	25	1002	207	22	26	17	336	557	53	108	28
ENSG00000100347	5374	2211	3120	2843	4343	1994	2577	3881	3236	1336	1767	2660	1978	2386	5467	2955
ENSG00000100348	4819	5068	2807	6906	4940	3630	5392	4089	3869	1987	3389	3378	4470	4357	5490	3527
ENSG00000100350	1178	3701	9374	4571	5614	2629	6489	5374	10363	1898	2996	3906	22392	1596	2555	1382
ENSG00000100351	23	122	1604	242	63	455	89	365	438	438	99	130	561	181	64	268
ENSG00000100353	16387	8692	12737	12077	36021	11941	16030	16750	20009	6548	7073	8854	11047	11141	22641	14073
ENSG00000100354	5798	1957	10999	6169	8284	6977	13917	6182	12557	3570	3668	2903	7724	4313	7208	4585
ENSG00000100359	4478	5001	3180	3448	4208	2932	8069	2456	3249	1339	1338	1673	6034	4680	4514	3448
ENSG00000100360	664	790	1263	675	737	631	1330	594	1318	501	382	706	667	1194	3626	930
ENSG00000100362	5	6	7	11	0	10	44	6	4	46	9	34	19	1	0	6
ENSG00000100364	3303	5072	8420	5491	8616	4566	6179	6415	10146	4973	3536	5179	9843	7160	4348	5914
ENSG00000100365	13211	659	1154	380	786	410	1140	744	133	975	328	490	1414	347	1685	778
ENSG00000100368	7631	737	7838	632	1111	1628	815	2636	201	3360	407	732	5040	602	325	2292
ENSG00000100372	2050	1170	1194	1327	2584	1021	3327	1409	2165	539	1209	1008	1336	1996	2035	1353
ENSG00000100373	9	215	16	187	0	22	816	767	37	1	3	528	145	10	36	9
ENSG00000100376	1011	1103	1571	1514	1423	1262	4216	2444	2103	464	714	1227	1551	1351	1995	1565
ENSG00000100379	758	1583	1442	2597	288	799	1396	1417	2640	996	773	1631	1504	1186	544	449
ENSG00000100380	15286	11160	15940	13447	17971	9512	24851	12555	23071	7999	8829	8106	13056	13662	13900	11160
ENSG00000100385	551	713	14236	812	865	705	866	2948	578	4815	278	1124	4438	1551	929	3127
ENSG00000100387	4935	2370	1749	3881	1798	2100	7463	2137	2525	1343	2943	2686	1880	3749	4295	2552
ENSG00000100393	17528	4886	19839	13432	15861	11456	12291	13074	16464	5934	7631	6676	12110	12400	15789	10300
ENSG00000100395	2801	2516	3738	2530	3992	1688	3058	2604	3176	1541	1663	1714	2970	2203	2402	2334
ENSG00000100399	34	291	46	108	588	109	133	96	124	32	109	76	228	130	315	49
ENSG00000100401	5142	6062	7072	6399	14407	5963	7975	13195	14065	3934	5767	5475	7898	6083	10263	3739
ENSG00000100403	6691	4210	15658	5515	15826	7250	5930	8823	11323	5696	3556	4637	11894	6898	9927	6620
ENSG00000100410	2070	1355	1289	1618	2315	1366	1609	2964	2279	907	844	2478	1359	1286	2303	1641
ENSG00000100412	12649	5323	8766	4253	11173	3763	6114	4278	10497	2921	2405	2851	9717	4165	10886	6192
ENSG00000100413	2242	2383	2700	1947	3278	1962	2428	2481	2597	1584	1445	2623	2843	2322	2132	2024
ENSG00000100416	1404	1455	1229	2091	2286	945	1562	1879	2134	605	1064	2309	1386	1164	2458	1488
ENSG00000100417	870	1721	863	1394	392	751	1157	862	962	530	477	645	973	1008	352	1050
ENSG00000100418	5781	3763	3551	3559	7870	3233	4453	3497	6019	1972	1662	6417	4271	4990	6868	2993
ENSG00000100422	2622	2260	3947	13826	1555	5423	3035	2973	7225	2308	1235	2089	4552	4435	3416	4239
ENSG00000100425	2316	1858	4707	3954	5261	2850	3492	4348	4939	1555	1695	2057	3676	3449	3214	2285
ENSG00000100426	2852	1156	2959	3076	8855	2272	3144	3643	4642	1334	1211	2037	3511	2856	7244	2841
ENSG00000100427	347	23	25	3	17	19	7	44	125	10	11	13	84	32	13	30
ENSG00000100429	571	1346	588	1056	700	668	984	1055	358	419	512	1405	743	1510	883	845
ENSG00000100433	4	13	45	878	384	75	1805	171	30	5	94	147	151	231	156	423
ENSG00000100439	2401	3458	2848	2256	1566	3500	6541	4495	2990	1741	1217	1326	3080	4907	1539	5420
ENSG00000100441	4118	2093	5189	2682	5630	3179	5185	4719	3683	2219	1532	1393	5061	4122	7846	4261
ENSG00000100442	5226	1708	2428	2535	2132	2634	3124	4242	1666	2114	1183	1842	2399	2051	5292	1514
ENSG00000100445	410	249	232	533	449	357	1165	547	464	129	218	220	388	334	288	409
ENSG00000100448	27	28	20	19	4	123	6	17	2	3	373	4	58	15	0	82
ENSG00000100450	53	188	2033	148	62	165	69	245	30	412	86	312	368	89	103	325
ENSG00000100453	83	391	5553	194	197	182	190	793	126	775	274	1791	941	383	486	1623
ENSG00000100461	4701	2372	4532	3890	3765	3893	7148	4528	5986	3155	2357	1781	4514	4515	2801	3707
ENSG00000100462	4189	1053	2223	1290	7705	2542	4908	8366	4410	1328	1825	1421	3115	2216	7455	3162
ENSG00000100473	2129	66	35	603	21	775	82	1456	33	117	53	18	515	182	15	82
ENSG00000100478	560	324	563	650	328	766	690	666	363	263	608	496	500	550	342	428
ENSG00000100479	639	351	408	1202	893	413	724	1023	724	693	438	846	489	523	1665	426
ENSG00000100483	411	181	353	680	521	394	709	548	428	352	314	348	331	671	742	502
ENSG00000100485	2868	1291	3655	3329	2035	2893	2869	2799	3500	2477	1407	1224	2948	3556	2636	3255
ENSG00000100490	45	65	163	89	877	184	67	141	239	96	153	177	201	298	1076	182
ENSG00000100503	3068	843	5949	667	1732	3113	2126	2343	4249	3584	1370	1089	3465	1587	2887	3623
ENSG00000100504	631	1688	1019	254	569	1785	1750	4890	481	3745	563	1433	1735	1902	77	824
ENSG00000100505	3546	57	135	18	21	271	49	108	72	258	51	49	87	109	22	59
ENSG00000100519	3876	2096	2688	4497	3394	2619	6453	5348	3148	3615	3343	2537	2710	4559	4806	3845
ENSG00000100522	1409	1483	3566	1365	13002	3034	2535	3236	4782	3589	1930	1466	5144	2697	8406	2410
ENSG00000100523	3610	553	2076	1930	1641	1631	1509	2450	2204	984	606	682	2024	1689	1763	2452
ENSG00000100526	2497	898	451	1779	1345	851	1611	1267	2153	1040	1459	887	1121	665	4060	1284
ENSG00000100528	8051	2415	5174	4524	9647	5525	7563	5534	8627	7822	4319	2839	5261	6939	14157	7436
ENSG00000100532	352	270	400	418	265	494	860	729	542	492	425	266	419	687	454	546
ENSG00000100554	2100	2687	2073	2187	2330	3130	3963	3829	2890	3318	2317	1665	3433	3441	1815	3117
ENSG00000100557	0	284	1144	233	119	10	21	11	56	2	188	238	390	786	2463	12
ENSG00000100558	62	1899	750	1257	5965	1658	1466	1587	1175	776	1095	1886	2727	3901	6215	5417
ENSG00000100564	827	745	595	1378	1109	983	2011	1520	929	469	470	467	889	1172	1648	963
ENSG00000100565	8	8	17	28	6	20	16	17	14	7	0	13	17	0	0	12
ENSG00000100567	4597	3864	3853	9177	5478	3921	11118	7203	3547	4728	4530	4767	3909	5703	9875	4814
ENSG00000100568	3364	2711	4899	2939	3738	4548	3657	4585	4426	4825	2702	2213	4693	5414	4885	3676
ENSG00000100575	1514	990	772	1470	2388	1813	3179	1418	1281	1408	1393	1429	1105	1710	1931	1170
ENSG00000100577	1099	1568	1096	423	619	451	1317	1027	734	630	662	610	837	827	1414	863
ENSG00000100578	1675	441	1905	783	1684	1056	1063	1329	1945	903	636	592	1135	715	2882	1667
ENSG00000100580	4197	962	3052	1051	4035	2444	2108	2670	3802	1024	1183	824	3029	2368	3663	2617
ENSG00000100583	45	65	100	35	42	50	111	373	176	39	107	47	101	89	53	39
ENSG00000100591	5650	4817	4225	4221	10188	4530	6055	11333	8112	3019	5688	4502	4934	6364	6949	5833
ENSG00000100592	5309	1414	2710	2810	1070	2729	3595	3206	2441	1444	1951	884	2055	1943	1866	2011
ENSG00000100593	5	2	3	9	2	14	36	120	346	17	1	8	2	7	5	5
ENSG00000100596	2276	5533	9638	4309	9710	5840	6161	6102	5966	2052	4401	2674	7074	6018	11193	6663
ENSG00000100599	6013	3055	5953	923	4765	3747	4760	3389	805	2642	2540	2236	5275	4643	503	1490
ENSG00000100600	43756	5760	26374	2331	9076	9726	20575	14410	8670	7944	5217	3662	23704	12645	6213	26288
ENSG00000100601	978	575	942	784	955	866	1270	1486	978	356	758	647	846	743	1334	589
ENSG00000100603	3560	2253	3191	3738	3859	3233	4467	6145	4100	1711	3382	2529	3514	3016	4552	3406
ENSG00000100604	19	71	28	6841	3	379	160	422	3	221	10	140	3532	8	3	133
ENSG00000100605	3377	7143	8231	7078	13052	6774	9611	8648	3269	5395	7525	3041	7678	10234	19559	9211
ENSG00000100612	3060	4977	2033	3819	2235	1769	3529	1411	7521	2108	1184	1262	2685	3472	3147	4452
ENSG00000100614	4700	2011	4031	3328	4701	3239	4555	3148	4377	3329	1906	1052	3732	3683	3587	3198
ENSG00000100625	590	197	486	843	176	913	946	825	1908	751	158	214	340	500	407	316
ENSG00000100626	56	125	874	1593	15	878	299	203	38	305	73	68	227	41	17	210
ENSG00000100628	1509	1357	2661	311	35	1501	306	840	31	187	966	314	1250	202	50	275
ENSG00000100629	494	166	865	564	247	300	728	1059	737	285	514	308	540	291	1002	341
ENSG00000100632	8930	3791	4617	7942	8296	5727	7882	10029	6178	6605	5680	7432	5374	4703	6902	4101
ENSG00000100644	15984	7488	21429	10695	17315	14783	54664	12702	13019	31078	7960	6549	20403	22880	17261	12444
ENSG00000100647	11172	3770	11322	3647	4962	4687	5213	4744	2342	7616	1873	1547	7718	6352	4154	5416
ENSG00000100650	10677	5075	7201	10493	5087	5376	10220	4824	3929	6373	7259	4762	7207	8835	8428	9657
ENSG00000100652	6	13	9	19	5	8	8	32	12	12	10	21	5	16	10	11
ENSG00000100664	11026	6155	11363	14652	18434	14242	13063	17607	17144	7817	19585	12676	13519	16855	28473	14829
ENSG00000100665	0	3270	1105	1032	118	95	10490	1268	42	0	518	1011	2492	4419	1009	1329
ENSG00000100678	11	25	21	15	4	49	70	35	3	30	9	8	29	15	7	16
ENSG00000100697	6627	1644	7479	5837	6161	4859	5531	5353	6005	2096	2655	2115	5652	4802	7947	5274
ENSG00000100711	895	1907	1682	2125	1230	2143	3532	3073	1056	1196	2288	1448	2402	4695	1751	2084
ENSG00000100714	7105	3719	8741	3190	17330	4115	5825	6724	5385	7506	2864	3829	5318	4702	10935	5877
ENSG00000100721	9	33	169	23	1	41	198	1524	4	128	1	366	1027	11	4	104
ENSG00000100722	3149	1809	3085	4649	5020	2850	3897	4701	4162	1549	2358	1999	3329	2832	3906	3478
ENSG00000100726	3409	3411	2719	2473	5989	1637	4539	3081	958	2033	999	1177	3097	3526	2132	1455
ENSG00000100731	3429	1462	10702	4109	2805	5225	4235	4666	4550	5715	2789	1329	5192	3780	2480	4782
ENSG00000100739	78	111	109	122	45	314	178	89	48	43	64	37	118	239	23	282
ENSG00000100744	1556	2131	2247	2970	9075	1526	2245	2162	1790	883	2468	1081	2750	3735	8225	4800
ENSG00000100749	2114	470	710	1354	2082	593	1775	2190	1401	303	1245	774	956	728	2811	859
ENSG00000100764	7376	1858	1991	2447	2397	2074	3856	3628	2168	1132	2268	2064	2019	1521	2749	1209
ENSG00000100767	516	681	3159	1608	593	2314	2057	2191	292	2159	955	953	1720	770	193	845
ENSG00000100784	640	556	1499	2117	970	1664	868	1982	1110	271	1570	526	1006	552	1035	956
ENSG00000100796	5332	2119	6732	6552	6374	4320	6531	6446	5135	1970	3356	2773	5575	4916	9398	3675
ENSG00000100802	365	626	598	1018	471	653	1224	676	971	266	441	489	561	686	1194	606
ENSG00000100804	2709	2997	2420	4610	6180	4929	11044	7914	5036	2737	3029	3790	4287	6010	7328	5009
ENSG00000100811	11831	6180	9496	10350	11650	10269	12025	18910	11515	4873	10555	6705	9327	19666	14940	8279
ENSG00000100813	10372	4774	9204	9081	9735	8300	16569	13462	7862	4642	6252	5772	8762	7626	11936	8656
ENSG00000100814	1112	663	905	3437	3958	1750	2215	3255	2883	610	828	967	1248	2574	3189	1945
ENSG00000100815	2199	1255	3934	3005	3327	4334	3992	4185	4052	1097	1948	1405	3305	3122	3647	2740
ENSG00000100823	9099	5329	5296	7536	18013	7054	10702	16891	6328	5110	6055	6879	7453	10142	13558	11418
ENSG00000100836	6026	3356	2988	11025	5646	6921	13417	9006	3997	1729	8686	6973	5516	7791	5523	1912
ENSG00000100842	164	351	288	194	274	651	2482	2908	309	187	244	203	549	1042	33	289
ENSG00000100852	7339	2493	7363	10092	13814	6644	7605	9190	11409	2133	4413	3201	7741	8278	15950	6600
ENSG00000100865	2182	1514	1064	1263	1827	1491	1904	1919	1623	904	1546	1155	1369	1732	1992	1529
ENSG00000100867	16	115	98	45	186	33	1627	48	373	28	84	22	18	136	87	23140
