TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000004897	7751	3255	1790	3701	2146	1963	2297	5742	5930	5071	1101	5003	4633	1398
ENSG00000004939	9	0	1	0	3	2	2	1	7	1	0	3	2	1
ENSG00000004948	42	5	51	12	5	39	38	24	7	21	2	28	29	22
ENSG00000004961	2090	616	597	1412	692	739	1292	1435	981	945	983	2097	1249	462
ENSG00000004975	2611	1237	723	1767	768	1284	1724	3412	3254	2669	1097	4086	1345	2147
ENSG00000005001	2464	179	659	582	2111	2211	310	163	1077	361	180	2301	3268	1950
ENSG00000005007	11291	2412	4051	5659	6566	5284	6926	8047	6765	4623	3636	10150	3453	3861
ENSG00000005020	3458	4247	1968	2087	2981	2289	2691	3881	9519	11956	850	4497	1963	422
ENSG00000005022	21209	15558	5233	10084	9941	7049	19519	38248	17134	10927	8795	26565	19609	3615
ENSG00000005059	1842	208	398	1148	1316	1310	1705	450	1387	1088	188	1793	175	233
ENSG00000005073	23	6	14	139	1	13	5	394	0	143	0	3	0	2
ENSG00000005075	2468	1482	1120	1740	2126	1246	2421	2230	1946	855	1982	2902	1766	3447
ENSG00000005100	2074	996	477	2469	509	751	1286	3244	2412	1411	743	1899	754	1078
ENSG00000005102	141	24	12	63	17	73	60	12	45	14	12	80	21	22
ENSG00000005108	511	2439	144	82	225	416	108	353	148	251	328	1137	49	105
ENSG00000005156	6716	1585	998	1056	1160	1219	1365	5797	2537	1231	756	3638	1485	1254
ENSG00000005175	6688	1135	858	1026	1118	707	1538	3885	2268	1694	707	2428	1651	696
ENSG00000005187	762	13	1039	109	493	64	402	238	1475	776	436	345	1048	2189
ENSG00000005189	401	383	122	108	165	160	194	303	578	186	188	790	341	437
ENSG00000005194	3801	2509	1325	1985	1206	1216	2256	4303	2714	3444	1989	2651	3019	1894
ENSG00000005206	4020	4226	2566	1144	1390	2828	1996	4852	2106	651	3264	4366	1177	5445
ENSG00000005238	2286	674	714	841	2085	1431	1893	1539	2042	1238	801	1848	698	722
ENSG00000005243	1230	292	1143	373	557	459	502	167	114	485	181	646	809	194
ENSG00000005249	4208	113	159	191	1018	401	1559	4152	473	277	494	3838	82	85
ENSG00000005302	3573	601	943	1372	941	1718	2560	1234	1612	817	894	3335	1069	1141
ENSG00000005339	13075	2126	2832	5629	3919	2534	5493	5607	12689	6127	2676	23185	2984	3514
ENSG00000005379	2274	179	718	277	563	3183	750	1124	574	495	313	2941	212	231
ENSG00000005381	52	43	10	13	8	22	16	20	30	160	6	117	8	3
ENSG00000005421	588	9	37	1	137	164	8	51	62	14	5	13	8	86
ENSG00000005436	1600	551	433	469	668	526	988	3604	1278	549	794	1216	1014	614
ENSG00000005448	1045	758	361	575	500	984	673	2163	1757	294	530	1638	837	1080
ENSG00000005469	1531	336	506	541	536	928	1133	491	1454	323	272	950	457	182
ENSG00000005471	448	20	76	33	31	138	89	728	214	39	388	127	14	53
ENSG00000005483	8252	2207	1961	3640	2862	2636	5469	5685	11753	3671	2285	8941	2353	2609
ENSG00000005486	7792	6295	3445	6683	6738	6045	6417	6355	10179	3247	8348	5735	4828	10213
ENSG00000005513	50	133	6	15	18	26	24	6	8	10	23	32	11	20
ENSG00000005700	7708	3580	1469	1833	1746	1927	2949	4619	3907	3748	1142	4209	4682	1985
ENSG00000005801	2373	516	550	1012	823	1179	1121	3069	727	373	844	2141	658	2447
ENSG00000005810	5818	1548	1277	2743	1598	1544	4073	4246	5362	2693	870	6148	900	952
