TCGA.95.A4VK	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7624	TCGA.55.7281	TCGA.55.A48Z	TCGA.69.7974	TCGA.69.A59K
ENSG00000005156	1287	435	945	1371	847	1433	1656	1160	1678	3799	1226
ENSG00000005175	1232	681	1363	1531	1124	1021	2714	1118	1095	2802	1808
ENSG00000005187	3740	228	945	383	152	768	110	493	448	1926	202
ENSG00000005189	334	90	94	81	203	65	199	165	300	365	193
ENSG00000005194	2312	1536	3276	2034	1069	2743	3710	1206	1814	2991	1608
ENSG00000005206	2376	850	4048	3087	2710	1519	915	1390	4491	3013	2000
ENSG00000005238	1186	527	1534	662	596	984	1178	2085	1909	2084	2993
ENSG00000005243	184	620	617	395	85	271	247	557	792	411	1437
ENSG00000005249	160	610	2872	512	948	106	440	1018	902	524	641
ENSG00000005302	1878	1340	656	1317	597	1355	1298	941	1713	1757	1129
ENSG00000005339	8056	1903	5264	4095	1617	4439	5307	3919	7074	8773	5471
ENSG00000005379	495	324	2862	4171	143	1016	130	563	2085	532	455
ENSG00000005381	11	14	1	8	4	6	53	8	24	38	9
ENSG00000005421	112	0	330	495	11	372	9	137	72	19	30
ENSG00000005436	1048	444	647	854	538	1918	1067	668	1026	1783	1080
ENSG00000005448	352	609	757	531	706	412	1296	500	930	893	1222
ENSG00000005469	602	360	540	296	225	860	275	536	725	1011	1863
ENSG00000005471	249	154	98	607	14	150	14	31	139	79	25
ENSG00000005483	3845	1963	4803	2646	2089	4731	2629	2862	4218	6718	10389
ENSG00000005486	7915	3314	8495	2945	4055	4402	3979	6738	11162	6025	7939
ENSG00000005513	85	211	183	5	2	24	4	18	32	31	16
ENSG00000005700	3424	1521	4266	2663	2380	3208	3907	1746	2305	5002	3359
ENSG00000005801	2030	786	1026	1173	383	1920	941	823	1102	1289	821
ENSG00000005810	2696	1791	1784	1256	1279	3755	3564	1598	2708	5356	2792
ENSG00000005812	1771	2188	1611	1257	904	3672	3474	1982	2571	3660	1803
ENSG00000005844	2338	2393	318	401	344	1518	775	1381	1663	5020	1643
ENSG00000005882	1509	654	1424	832	241	1041	636	859	1070	1879	1065
ENSG00000005884	18746	6428	41218	22483	872	14015	6595	48732	29378	121669	46448
ENSG00000005889	1240	938	701	1349	804	1478	1930	1221	1598	3347	2185
ENSG00000005893	4161	5568	6897	5713	2164	6890	15716	12538	22902	11319	12655
ENSG00000005961	29	19	43	2392	26	46	105	32	113	330	313
ENSG00000005981	56	5	26	8	4	39	1	2	15	53	21
ENSG00000006007	4661	3375	8325	4840	2026	2553	3687	5751	3252	7825	7063
ENSG00000006015	820	840	1144	2295	687	654	1131	486	1449	1719	720
ENSG00000006016	1410	589	399	34277	63	1949	44	833	8681	223	310
ENSG00000006025	2785	325	1949	622	291	467	152	619	1516	2699	3933
ENSG00000006042	3268	4328	6251	3198	741	4948	483	7317	3819	1106	768
ENSG00000006047	156	15	20	301	519	1	698	1	306	1321	1352
ENSG00000006059	1	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	1003	1283	443	277	298	1363	1634	1630	1477	2034	1574
ENSG00000006071	8	4	1	535	2	34	19	1	36	11	34
ENSG00000006116	5	2	1	0	0	0	1	0	0	0	0
ENSG00000006118	5054	1884	1802	2407	862	1739	1747	1955	3768	2224	1438
ENSG00000006125	10516	4394	11322	5765	5453	13713	9968	13194	17844	57167	11388
ENSG00000006128	9	0	0	0	0	0	99	0	241	0	20
ENSG00000006194	2231	712	1906	1057	974	1050	1032	1200	2125	2052	2386
ENSG00000006210	1183	4108	14165	2011	216	8879	277	5618	5978	19786	3580
ENSG00000006282	3798	1837	5021	5262	588	2026	1062	2318	5902	7876	5735
ENSG00000006283	1	66	29	68	8	21	6	273	64	25	4003
ENSG00000006327	4814	5464	10171	766	744	1316	3555	8562	3527	5053	4154
ENSG00000006377	6	12	19	2	0	2	175	5	8	1	327
ENSG00000006432	1122	154	2959	807	618	1868	1031	1052	1335	2256	973
ENSG00000006451	1928	2080	2234	3084	1716	2610	5545	3435	3755	5685	4111
ENSG00000006453	6620	979	6923	2668	3367	3676	3492	2898	3449	10446	8700
ENSG00000006459	1924	678	2521	1188	667	3691	894	1375	2943	2384	1285
ENSG00000006468	548	978	7262	323	45	6142	331	1260	1305	3550	2731
ENSG00000006530	833	642	1311	1157	741	1480	1035	1204	1376	1841	3635
ENSG00000006534	32431	2013	6237	5178	6113	3393	2114	5391	2722	9941	4650
ENSG00000006555	1179	267	989	570	378	1049	1523	1276	702	919	932
ENSG00000006576	780	1252	959	653	1313	1718	1177	1039	3518	2524	1971
ENSG00000006606	6	6	4	5	4	10	15	13	17	18	45
ENSG00000006607	1832	547	1661	1648	703	2453	1748	1342	2090	3850	3247
ENSG00000006611	8	31	2	79	4	16	56	6	120	12	8
ENSG00000006625	1451	1577	3112	2662	1386	2896	3662	1753	5877	2047	3856
ENSG00000006634	367	367	288	380	604	626	633	294	639	976	751
ENSG00000006638	123	130	82	117	41	58	83	128	197	395	171
ENSG00000006652	996	854	2453	963	2266	1892	1798	1190	2064	1658	5044
ENSG00000006659	0	0	0	0	0	0	102	0	5	1	0
ENSG00000006695	505	378	1044	989	442	594	532	438	283	997	575
ENSG00000006704	2949	407	2482	941	2259	1774	883	1792	3362	3446	2260
ENSG00000006712	5161	1764	3426	3310	2751	2361	5403	3196	2806	4923	2237
ENSG00000006715	2132	2242	3223	3608	1363	3434	4037	2498	2395	5901	5122
ENSG00000006740	671	328	3233	2138	178	1697	533	426	826	1995	377
ENSG00000006744	1854	1596	4200	3447	1345	2000	2714	2126	1657	3593	2418
ENSG00000006747	247	449	3920	6917	41	105	2850	927	1023	626	56
ENSG00000006756	10259	3042	4214	8944	740	4230	2540	7642	16177	14427	4609
ENSG00000006757	884	625	346	888	260	369	575	1017	1062	1087	1208
ENSG00000006788	2	4	0	191	0	2	5	3	20	4	10
ENSG00000006831	4799	1793	3590	5105	5020	1780	7984	2752	2329	6674	3865
ENSG00000006837	40	12	107	21	25	53	15	25	43	16	69
ENSG00000007001	12	5	9	4	1	6	1	14	2	0	3
ENSG00000007038	12	30	2	1307	1	315	219	14	1455	863	8
ENSG00000007047	2285	666	1671	2773	1476	1666	3220	1541	1707	3463	1260
ENSG00000007062	1523	1454	2515	1724	93	8355	58	51	1080	922	218
ENSG00000007080	2015	1293	2954	3907	1261	2288	2287	3370	2673	3546	2806
ENSG00000007129	84	289	245	47	17	163	31	152	70	181	111
ENSG00000007168	4111	3333	6490	4981	2579	4258	6242	4498	3325	8004	6339
ENSG00000007171	100	42	80	82	4	35	15	100	53	206	47
ENSG00000007174	51	274	16	495	8	17	1	95	7	1409	240
ENSG00000007202	7438	2879	7745	8114	2613	11583	4982	6197	5755	23266	12434
ENSG00000007216	2	5	0	725	0	228	1	64	337	4	2
ENSG00000007237	1222	1649	414	381	192	4088	524	1494	1975	2805	1513
ENSG00000007255	3107	855	931	1075	380	1560	1430	835	1535	1234	1105
ENSG00000007264	125	398	84	125	29	89	88	588	394	307	139
ENSG00000007306	343	131	9	1	10	73	28	147	28	22	24
ENSG00000007312	746	4211	43	67	57	438	92	119	324	400	560
ENSG00000007314	11	31	1	3580	0	4	9	10	120	26	113
ENSG00000007341	668	205	542	299	156	457	619	254	550	614	557
ENSG00000007350	3	5	0	6	0	5	91	2	0	1	1
ENSG00000007372	58	46	25	34	26	72	247	52	43	68	38
ENSG00000007376	1311	685	1308	956	417	862	1023	946	1606	1376	670
ENSG00000007384	3360	751	4925	2585	994	868	2694	3315	3714	3542	1266
ENSG00000007392	4525	576	5147	2191	938	1466	815	1860	3757	1995	1187
ENSG00000007402	562	428	11055	4416	219	1606	123	120	464	3450	1479
ENSG00000007516	2090	347	585	1502	1200	174	250	406	2042	855	304
ENSG00000007520	2803	1160	2998	1865	719	1396	1560	2383	2472	2121	936
ENSG00000007541	4080	1081	5152	3209	1027	1541	1916	2739	5597	2868	1711
ENSG00000007545	2304	250	1700	615	461	1150	720	806	1187	689	642
ENSG00000007866	3572	847	5259	2461	1378	1996	3828	1629	2689	2901	1200
ENSG00000007908	37	242	33	43	12	15	29	34	13	178	109
ENSG00000007923	1983	460	1225	1095	989	954	2523	1037	1333	2208	2688
ENSG00000007933	339	1327	112	130	50	210	45	484	519	323	327
ENSG00000007944	1450	724	1467	2491	765	2350	2527	678	1815	1512	2979
ENSG00000007952	412	46	204	48	14	114	31	164	342	63	63
ENSG00000007968	334	145	37	178	148	139	1110	125	340	734	709
ENSG00000008018	6036	5667	6469	3293	2612	3453	10056	7234	6812	6411	4241
ENSG00000008056	47	51	16	644	12	35	35	66	83	79	26
ENSG00000008083	1423	582	1543	1026	761	1109	2679	1004	836	1412	553
ENSG00000008086	1191	225	641	915	468	2858	768	490	876	3488	591
ENSG00000008118	39	49	10	24	7	34	23	42	33	73	18
ENSG00000008128	557	119	211	320	142	316	423	151	485	454	609
ENSG00000008130	5730	1668	3108	2984	5525	1493	4558	3685	4143	5072	6150
ENSG00000008196	0	2	140	0	0	0	1	0	16	0	0
ENSG00000008197	0	1	160	397	0	0	0	13	246	0	0
ENSG00000008226	108	125	329	258	576	55	24	139	102	671	424
ENSG00000008256	1420	1373	2417	1672	474	40088	5999	2599	9061	7257	1102
ENSG00000008277	158	253	261	120	37	550	63	142	189	1405	152
ENSG00000008282	3950	3538	5226	3967	2367	4580	3553	4027	4982	7608	9286
ENSG00000008283	6620	2993	10761	11578	3720	5371	3647	7067	7605	19438	2707
ENSG00000008294	6330	1649	7849	4048	1419	10591	3985	7191	4666	29883	6779
ENSG00000008300	2393	54	496	226	248	477	620	772	738	3394	4282
ENSG00000008311	573	104	1173	376	205	763	130	286	399	1278	527
ENSG00000008323	1495	224	820	1046	739	51	1993	810	512	420	1348
ENSG00000008324	590	754	696	513	470	525	598	785	745	848	1001
ENSG00000008382	651	753	1143	866	373	834	234	1922	1466	2719	1287
ENSG00000008394	26655	4322	11568	6518	11710	5415	8091	10385	10318	19845	30084
ENSG00000008405	1173	652	547	1836	1174	1105	1734	490	1223	1380	965
ENSG00000008438	2	1	0	2	3	4	6	1	0	4	10
ENSG00000008441	1103	1235	3931	936	338	9957	1554	3753	6232	4116	1141
ENSG00000008513	2847	1796	10716	768	483	8771	1943	3968	3592	15162	3660
ENSG00000008516	254	135	79	63	42	94	163	109	209	192	204
ENSG00000008517	4477	4436	900	4972	316	3896	5364	9628	3399	5611	1136
ENSG00000008710	3491	747	4195	2659	1143	1854	985	1629	4416	3500	3783
ENSG00000008735	209	86	129	378	31	37	458	896	521	1520	668
ENSG00000008838	4869	1567	4088	4451	2631	2901	5313	3597	4852	8676	15509
ENSG00000008853	20936	1501	22836	9037	960	13114	1617	7336	1712	11893	2846
ENSG00000008869	2698	582	1590	1366	1423	2115	2034	1134	1111	3282	2849
ENSG00000008952	3520	13943	6930	5370	4841	11951	9772	8664	5654	9410	11662
ENSG00000008988	25414	40435	59631	46595	9550	44556	24742	45245	45349	39802	29520
ENSG00000009307	24799	13196	17613	12535	10599	29998	27481	32186	18392	35360	32728
ENSG00000009335	4147	1670	3716	3317	2302	5007	3812	2744	3359	8615	16145
ENSG00000009413	1160	470	1175	533	606	1917	1566	414	1199	2094	1046
ENSG00000009694	41	43	44	2781	2	22	138	32	224	46	31
ENSG00000009709	1	1	2820	3	0	0	1	0	170	3	28
ENSG00000009724	106	12	74	21	11	36	56	22	73	28	117
ENSG00000009765	71	912	359	271	165	93	14	217	73	124	141
ENSG00000009780	639	382	665	381	220	511	552	654	572	861	854
ENSG00000009790	825	948	106	75	95	616	185	279	456	792	454
ENSG00000009830	1286	340	1285	1558	359	1147	1365	764	1471	1203	1103
ENSG00000009844	1430	1250	767	1230	978	1161	4022	1598	1807	2322	1510
ENSG00000009950	141	31	63	131	30	31	135	46	1097	220	253
ENSG00000009954	4556	1960	4521	2714	3382	4897	4310	3956	6837	10706	8663
ENSG00000010017	4485	1336	4232	3144	2275	4341	3816	2095	2392	5139	2366
ENSG00000010030	488	301	530	404	118	856	2810	379	1184	764	354
ENSG00000010072	832	355	545	627	561	1074	862	385	835	987	840
ENSG00000010165	2550	773	2120	2041	1210	2299	2298	1530	1808	2491	2602
ENSG00000010219	658	654	904	916	231	580	260	868	681	851	686
ENSG00000010244	8120	3852	8345	4211	3493	7944	8148	7273	7797	15106	7125
ENSG00000010256	7861	4134	6106	6298	3469	3692	5861	6662	5123	10398	5716
ENSG00000010270	1371	2274	1329	2010	752	1622	2402	1387	1771	2956	3198
ENSG00000010278	8392	11687	16096	21851	5546	4731	26395	35451	10290	24033	27052
ENSG00000010282	4	18	2	2	0	2	1	672	3	710	5
ENSG00000010292	4027	1864	2044	3942	2831	1572	10842	2718	2741	7840	4847
ENSG00000010295	632	374	183	228	150	371	216	423	884	1047	694
ENSG00000010310	344	70	1477	573	675	104	113	76	498	459	324
ENSG00000010318	285	98	241	128	95	86	97	100	201	247	210
ENSG00000010319	447	399	194	301	161	747	42	598	104	809	460
ENSG00000010322	5940	1471	6085	4061	1564	2690	2824	3032	4083	8472	6802
ENSG00000010327	2121	1708	610	2172	821	2421	564	2661	4208	16028	3813
ENSG00000010361	656	460	803	539	759	467	631	456	965	938	725
ENSG00000010379	1	7	6	1	2	10	4	2	3	28	40
ENSG00000010404	3882	4081	8672	2575	889	5176	13531	11065	12863	12344	19812
ENSG00000010438	3	11	3	2	9	157	4	34	75	16	82
ENSG00000010539	845	319	278	302	412	373	774	354	797	696	501
ENSG00000010610	2798	6433	1111	1924	947	2964	1848	8624	5790	15515	4284
ENSG00000010626	807	881	912	552	743	280	497	962	574	1098	1243
ENSG00000010671	470	1522	143	118	111	573	201	866	579	1676	722
ENSG00000010704	1141	610	1334	663	715	678	1275	777	686	2426	926
ENSG00000010803	2009	863	1731	2663	909	1925	2249	1667	2161	2191	2530
ENSG00000010810	1413	2128	1003	1511	424	1428	5106	2604	1445	2498	2437
ENSG00000010818	2022	1210	1493	1106	918	1775	2477	1254	2143	3574	3545
ENSG00000010932	38	110	9	20	45	32	77	63	434	221	136
ENSG00000011007	3323	1375	2920	2190	1389	3042	3105	3207	2048	3992	4024
ENSG00000011009	4737	2834	4488	2988	2471	2707	3471	8309	4095	6186	4749
ENSG00000011021	2271	293	1239	577	506	677	995	634	1065	1294	1317
ENSG00000011028	3246	2683	9935	3184	709	12212	1663	6052	11518	10110	4621
ENSG00000011052	23	14	42	53	18	14	30	26	21	125	45
ENSG00000011083	31	8	1	7	0	3	4	6	12	16	9
ENSG00000011105	3013	2091	2039	1483	707	2590	1626	3776	2503	2429	1631
ENSG00000011114	2005	610	1527	1418	565	2337	2971	968	2091	1878	1469
ENSG00000011132	546	578	772	1176	738	703	299	677	1062	1335	632
ENSG00000011143	1741	391	985	1533	520	779	463	794	1028	1424	222
ENSG00000011198	715	298	630	779	937	417	604	1015	642	2212	847
ENSG00000011201	701	657	338	114	77	264	107	1472	1497	2450	739
ENSG00000011243	2204	783	2484	2110	1471	1550	1848	1251	2596	3251	4479
ENSG00000011258	1673	442	1317	1522	442	1717	976	691	1224	2229	976
ENSG00000011260	1510	1123	1420	1650	572	1803	1559	1349	1375	4823	1609
ENSG00000011275	2202	1860	2147	3368	1844	2985	3803	2357	3832	5303	4486
ENSG00000011295	1320	1423	3606	2552	953	2218	1543	1378	1034	2153	3310
ENSG00000011304	11999	6301	14415	15510	8882	11471	15082	12640	17252	20566	11530
ENSG00000011332	31	7	18	12	8	12	65	12	33	48	96
ENSG00000011347	13638	467	1462	8084	6175	424	1524	2316	1596	15111	1121
ENSG00000011376	1179	364	792	734	637	533	1176	694	709	1985	2059
ENSG00000011405	3052	1384	2694	2259	1345	3766	2151	1452	2401	5363	2262
ENSG00000011422	1646	1998	1821	1395	752	1169	5332	5489	4233	12524	1921
ENSG00000011426	1350	324	249	1324	3560	1284	10745	705	2523	12202	1697
ENSG00000011451	1620	926	2432	2117	1286	2481	1898	2001	2932	5389	4652
ENSG00000011454	3736	1114	3452	1835	1024	1780	3162	1887	3294	4107	2866
ENSG00000011465	8385	38382	2863	7233	1873	10947	6606	13884	28793	16210	7788
ENSG00000011478	357	394	893	636	567	605	694	712	1059	1336	694
ENSG00000011485	2695	1627	3506	3092	3009	2557	5223	2226	2742	3217	2323
ENSG00000011523	1490	745	1090	1140	255	1287	841	1147	914	1850	1785
ENSG00000011566	1834	990	1696	1951	853	1601	2559	1505	1687	2713	1750
ENSG00000011590	77	70	21	18	25	66	35	20	40	68	251
ENSG00000011600	1084	4232	664	1309	607	1462	1505	8900	4647	8132	2252
ENSG00000011638	2484	2468	7331	1203	306	1429	2219	7833	3422	4393	1738
